price_category,max_price_for_category
12,1900000.0
6,1050000.0
4,750000.0
7,1200000.0
9,1350000.0
11,1750000.0
10,1500000.0
14,2200000.0
2,350000.0
28,4500000.0
13,2050000.0
5,900000.0
1,200000.0
40,6500000.0
19,3050000.0
15,2350000.0
24,3900000.0
18,2900000.0
3,500000.0
17,2750000.0
29,4750000.0
20,3200000.0
22,3500000.0
23,3750000.0
16,2500000.0
25,4050000.0
21,3350000.0
35,5750000.0
32,5200000.0
48,7900000.0
43,7050000.0
38,6200000.0
26,4200000.0
31,5050000.0
37,6050000.0
36,5900000.0
46,7500000.0
39,6350000.0
34,5500000.0
33,5350000.0
30,4900000.0
50,8200000.0
27,4350000.0
47,7750000.0
41,6750000.0
44,7200000.0
51,8350000.0
45,7350000.0
49,8019000.0
42,6900000.0
52,8500000.0
53,8515000.0
