Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Honda,Accord,2007,VII рестайлинг (2005—2008),261000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 AT (155 л.с.),2 л,Бензин,Автомат,Передний,Базовая,Седан,Чёрный,Левый,JHMC*************,Не интересует,820 000
Honda,CR-V,2020,V рестайлинг (2019—2023),35000 км,6 записей в отчёте Автотеки,Электронный,2,Не битый,1.5 4WD CVT (193 л.с.),1.5 л,Бензин,Вариатор,Полный,Executive,Внедорожник 5-дверный,Серый,Левый,2HKR*************,Не интересует,3 088 000
Honda,Civic,2008,VIII (2005—2009),345575 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Чёрный,Левый,NLAF*************,Не интересует,670 000
Honda,Civic,2008,VIII (2005—2009),185000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Чёрный,Левый,JHMF*************,Не интересует,869 000
Honda,HR-V,1999,GH (1998—2001),357400 км,3 записи в отчёте Автотеки,,2,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Внедорожник 5-дверный,Чёрный,Левый,0TSY*************,,280 000
Honda,Accord,2013,IX (2012—2016),136123 км,Проверить в Автотеке,Оригинал,1,Не битый,2.4 AT (180 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Седан,Чёрный,Левый,1HGC*************,,1 750 000
Honda,Pilot,2012,II рестайлинг (2011—2015),154500 км,4 записи в отчёте Автотеки,,1,Не битый,3.5 4WD AT (249 л.с.),3.5 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Чёрный,Левый,5KBY*************,,2 073 900
Honda,Accord,2022,X рестайлинг (2020—2023),28000 км,Проверить в Автотеке,Электронный,1,Не битый,1.5 CVT (192 л.с.),1.5 л,Бензин,Вариатор,Передний,Базовая,Седан,Белый,Левый,1HGC*************,,3 450 000
Honda,CR-V,2004,II (2001—2004),256000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 4WD MT (150 л.с.),2 л,Бензин,Механика,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,SHSR*************,Возможен,759 000
Honda,Accord,2008,VIII (2007—2011),198126 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 AT (156 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Серый,Левый,JHMC*************,Не интересует,1 320 000
Honda,Civic,2007,VIII (2005—2009),225000 км,24 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Sport,Седан,Чёрный,Левый,JHMF*************,Не интересует,670 000
Honda,Civic,2002,VII (2000—2003),5000 км,,Оригинал,4+,Не битый,2.0 MT (200 л.с.) Type R,2 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Красный,Левый,SHHE*************,,990 000
Honda,Civic,2008,VIII рестайлинг (2008—2011),200000 км,16 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Базовая,Седан,Синий,Левый,NLAF*************,Возможен,535 000
Honda,Accord,2013,IX (2012—2016),72530 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,2.4 AT (180 л.с.),2.4 л,Бензин,Автомат,Передний,Sport,Седан,Белый,Левый,1HGC*************,Возможен,2 170 000
Honda,CR-V,2013,IV (2011—2015),159500 км,5 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Белый,Левый,SHSR*************,Не интересует,1 950 000
Honda,Civic,2012,IX (2011—2015),152000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.8 AT (142 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Белый,Левый,NLAF*************,Возможен,869 999
Honda,Civic,2008,VIII (2005—2009),244000 км,13 записей в отчёте Автотеки,,3,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Elegancе,Седан,Синий,Левый,NLAF*************,,755 000
Honda,Accord,2007,VII рестайлинг (2005—2008),216000 км,8 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 AT (155 л.с.),2 л,Бензин,Автомат,Передний,Базовая,Седан,Голубой,Левый,JHMC*************,Не интересует,899 000
Honda,CR-V,2008,III (2006—2009),266500 км,13 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Коричневый,Левый,SHSR*************,Не интересует,1 300 000
Honda,Civic,1996,VI (1995—2002),278000 км,8 записей в отчёте Автотеки,,4+,Не битый,1.4 MT (90 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Красный,Левый,SHHM*************,Возможен,160 000
Honda,FR-V,2005,I (2004—2009),306000 км,13 записей в отчёте Автотеки,,4+,Не битый,2.0 MT (155 л.с.),2 л,Бензин,Механика,Передний,Базовая,Минивэн,Синий,Левый,JHMB*************,,765 000
Honda,CR-V,2014,IV (2011—2015),161912 км,5 записей в отчёте Автотеки,,3,Не битый,2.0 i-VTEC AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,,2 249 000
Honda,Civic,2008,VIII рестайлинг (2008—2011),184000 км,11 записей в отчёте Автотеки,,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,,Седан,Синий,Левый,NLAF*************,,1 150 000
Honda,Civic,2010,VIII рестайлинг (2008—2011),238903 км,7 записей в отчёте Автотеки,Оригинал,1,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Executive,Седан,Белый,Левый,NLAF*************,,1 119 000
Honda,Elysion,2006,I (2004—2006),96300 км,,Электронный,1,Не битый,3.0 AT (250 л.с.),3 л,Бензин,Автомат,Передний,Базовая,Минивэн,Серый,Левый,RR3-*******,Не интересует,1 888 000
Honda,CR-V,2011,III рестайлинг (2009—2012),147913 км,4 записи в отчёте Автотеки,,3,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,SHSR*************,,1 769 000
Honda,CR-V,2013,IV (2011—2015),186800 км,6 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,,1 815 000
Honda,Accord,2006,VII рестайлинг (2005—2008),208112 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,2.4 AT (190 л.с.),2.4 л,Бензин,Автомат,Передний,Executive,Седан,Фиолетовый,Левый,JHMC*************,Не интересует,899 000
Honda,Civic,2008,VIII (2005—2009),315000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,,Седан,Синий,Левый,NLAF*************,Не интересует,910 000
Honda,Civic,2007,VIII (2005—2009),183500 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Elegancе,Седан,Синий,Левый,JHMF*************,Не интересует,920 000
Honda,CR-V,2010,III рестайлинг (2009—2012),177000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Elegance,Внедорожник 5-дверный,Чёрный,Левый,SHSR*************,Не интересует,1 570 000
