Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Land Rover,Range Rover,2015,IV (2012—2017),144808 км,44 записи в отчёте Автотеки,Дубликат,4+,Не битый,3.0 TD AT (249 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Синий,Левый,SALG*************,Возможен,4 240 000
Land Rover,Range Rover,2021,IV рестайлинг (2017—2022),12173 км,3 записи в отчёте Автотеки,,1,Не битый,5.0 S/C AT (525 л.с.),5 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,SALG*************,,14 899 000
Land Rover,Range Rover Sport,2012,I рестайлинг (2009—2013),167500 км,20 записей в отчёте Автотеки,,4+,Не битый,3.0 TD AT (245 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Коричневый,Левый,SALL*************,Возможен,1 755 000
Land Rover,Range Rover,2020,IV рестайлинг (2017—2022),30000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,3.0 TD AT (249 л.с.),3 л,Дизель,Автомат,Полный,VOGUE SE,Внедорожник 5-дверный,Чёрный,Левый,SALG*************,Не интересует,11 500 000
Land Rover,Freelander,2012,II рестайлинг (2010—2012),220000 км,23 записи в отчёте Автотеки,Оригинал,3,Не битый,2.2 TD AT (150 л.с.),2.2 л,Дизель,Автомат,Полный,SE,Внедорожник 5-дверный,Бордовый,Левый,SALF*************,Не интересует,1 450 000
Land Rover,Freelander,2010,II (2006—2010),227000 км,43 записи в отчёте Автотеки,,4+,Не битый,2.2 TD AT (160 л.с.),2.2 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,SALF*************,,1 184 500
Land Rover,Range Rover Velar,2018,I (2017—2023),115000 км,29 записей в отчёте Автотеки,Дубликат,4+,Не битый,D240 2.0 AT (240 л.с.),2 л,Дизель,Автомат,Полный,R-Dynamic SE,Внедорожник 5-дверный,Коричневый,Левый,SALY*************,Возможен,4 650 000
Land Rover,Discovery,2015,IV рестайлинг (2013—2016),178500 км,46 записей в отчёте Автотеки,,3,Не битый,3.0 TD AT (249 л.с.),3 л,Дизель,Автомат,Полный,Landmark,Внедорожник 5-дверный,Чёрный,Левый,SALL*************,Возможен,2 485 000
Land Rover,Range Rover Evoque,2015,I (2011—2015),162536 км,19 записей в отчёте Автотеки,,3,Не битый,2.2 TD AT (190 л.с.),2.2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Серебряный,Левый,SALV*************,Возможен,2 810 000
Land Rover,Freelander,2009,II (2006—2010),168351 км,10 записей в отчёте Автотеки,,2,Не битый,3.2 AT (233 л.с.),3.2 л,Бензин,Автомат,Полный,HSE,Внедорожник 5-дверный,Чёрный,Левый,SALF*************,Возможен,1 330 000
