Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Hyundai,Elantra,2004,III рестайлинг (2003—2010),297000 км,6 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,KMHD*************,Не интересует,269 000
Hyundai,Solaris,2021,II рестайлинг (2020—2023),84819 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Active Plus,Седан,Синий,Левый,Z94K*************,Возможен,1 739 000
Hyundai,Creta,2020,I (2016—2020),23500 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,,Внедорожник 5-дверный,Серый,Левый,Z94G*************,Не интересует,2 150 000
Hyundai,Solaris,2014,I (2010—2014),90015 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (123 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Седан,Серый,Левый,Z94C*************,Возможен,1 100 000
Hyundai,Solaris,2021,II рестайлинг (2020—2023),48800 км,3 записи в отчёте Автотеки,Электронный,2,Не битый,1.6 MT (123 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,Z94K*************,Не интересует,1 635 000
Hyundai,Santa Fe,2012,II рестайлинг (2010—2012),238000 км,16 записей в отчёте Автотеки,,2,Не битый,2.2 R VGT 4WD AT (197 л.с.),2.2 л,Дизель,Автомат,Полный,Style + Navi,Внедорожник 5-дверный,Белый,Левый,KMHS*************,Не интересует,2 000 000
Hyundai,Creta,2019,I (2016—2020),112176 км,9 записей в отчёте Автотеки,,1,Не битый,1.6 4WD AT (121 л.с.),1.6 л,Бензин,Автомат,Полный,Active,Внедорожник 5-дверный,Белый,Левый,Z94G*************,,1 510 000
Hyundai,Tucson,2020,IV (2020—2023),10700 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.6 T-GDI 4WD DCT (180 л.с.),1.6 л,Бензин,Робот,Полный,Base,Внедорожник 5-дверный,Серый,Левый,KMHJ*************,Не интересует,3 500 000
Hyundai,Creta,2018,I (2016—2020),106002 км,9 записей в отчёте Автотеки,,1,Не битый,1.6 4WD MT (121 л.с.),1.6 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Белый,Левый,Z94G*************,Возможен,1 839 000
Hyundai,Solaris,2017,II (2017—2020),76000 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Elegance,Седан,Чёрный,Левый,Z94K*************,Возможен,1 630 000
