Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Kia,Sorento Prime,2015,III (2014—2017),200000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,2.2 CRDi AT (200 л.с.),2.2 л,Дизель,Автомат,Полный,Premium,Внедорожник 5-дверный,Чёрный,Левый,XWEP*************,Возможен,2 499 000
Kia,Sportage,2018,IV (2015—2018),94000 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 CRDi AT (186 л.с.),2 л,Дизель,Автомат,Передний,Noblesse,Внедорожник 5-дверный,Белый,Левый,KNAP*************,Не интересует,2 220 000
Kia,Sportage,2023,V (2021—2023),19 км,,Электронный,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Classic,Внедорожник 5-дверный,Белый,Левый,MX1P*************,Возможен,3 230 000
Kia,Rio X,2021,I (2020—2023),52300 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Style,Хетчбек 5-дверный,Белый,Левый,Z94C*************,,2 181 894
Kia,Ceed,2019,CD (2018—2021),42000 км,11 записей в отчёте Автотеки,,1,Не битый,1.6 AT (128 л.с.),1.6 л,Бензин,Автомат,Передний,,Хетчбек 5-дверный,Коричневый,Левый,XWEH*************,Возможен,2 151 700
Kia,Sportage,2017,IV (2015—2018),156200 км,Проверить в Автотеке,Оригинал,1,Не битый,2.0 CRDi AT (184 л.с.),2 л,Дизель,Автомат,Передний,Базовая,Внедорожник 5-дверный,Чёрный,Левый,KNAP*************,,2 180 000
Kia,Rio,2010,II рестайлинг (2009—2011),161234 км,22 записи в отчёте Автотеки,Дубликат,3,Не битый,1.4 MT (95 л.с.),1.4 л,Бензин,Механика,Передний,Comfort,Седан,Оранжевый,Левый,XWED*************,Возможен,569 000
Kia,Rio X-Line,2020,I (2017—2020),47817 км,11 записей в отчёте Автотеки,,2,Не битый,1.6 AT (123 л.с.),1.6 л,Бензин,Автомат,Передний,Comfort,Хетчбек 5-дверный,Серый,Левый,Z94C*************,,1 630 000
Kia,Sportage,2018,IV (2015—2018),75000 км,Проверить в Автотеке,Электронный,1,Не битый,2.0 CRDi 4WD AT (185 л.с.),2 л,Дизель,Автомат,Полный,Premium,Внедорожник 5-дверный,Чёрный,Левый,KNAP*************,Возможен,2 680 000
Kia,Sorento,2015,II рестайлинг (2012—2021),138959 км,8 записей в отчёте Автотеки,,2,Не битый,2.4 4WD AT (175 л.с.),2.4 л,Бензин,Автомат,Полный,Comfort,Внедорожник 5-дверный,Серый,Левый,XWEK*************,Возможен,1 927 000
Kia,Picanto,2006,I (2004—2007),112500 км,11 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.0 MT (60 л.с.),1 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Синий,Левый,KNEB*************,,365 000
Kia,Carnival,2017,III (2014—2021),83000 км,Проверить в Автотеке,Электронный,1,Не битый,2.2 CRDi AT (202 л.с.),2.2 л,Дизель,Автомат,Передний,Nobless Special 9 seats,Минивэн,Белый,Левый,KNAM*************,Возможен,3 080 000
