Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Lexus,RX,2006,II рестайлинг (2006—2009),362731 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,RX 350 3.5 4WD AT (276 л.с.),3.5 л,Бензин,Автомат,Полный,Luxury,Внедорожник 5-дверный,Серебряный,Левый,JTJH*************,Не интересует,1 300 000
Lexus,LX,2023,J300 (2021—2023),1 км,Проверить в Автотеке,Электронный,1,Не битый,LX 500d 3.3 D AT (300 л.с.),,Дизель,Автомат,Полный,Executive,Внедорожник 5-дверный,Чёрный,Левый,JTJP*************,,17 200 000
Lexus,NX,2020,Z10 рестайлинг (2017—2021),57975 км,13 записей в отчёте Автотеки,,2,Не битый,NX 300 2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Progressive,Внедорожник 5-дверный,Серый,Левый,JTJB*************,Возможен,5 550 000
Lexus,LX,2015,J200 рестайлинг 2 (2015—2023),102671 км,12 записей в отчёте Автотеки,,1,Не битый,LX 450 4.5 4WD AT (272 л.с.),4.5 л,Дизель,Автомат,Полный,Executive 2,Внедорожник 5-дверный,Чёрный,Левый,JTJC*************,Возможен,6 700 000
Lexus,RX,2023,V (2022—2023),218 км,Проверить в Автотеке,,1,Не битый,RX 350 2.4 4WD AT (249 л.с.),2.4 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Серый,Левый,JTJC*************,Возможен,9 799 000
Lexus,RX,2023,V (2022—2023),1 км,Проверить в Автотеке,Электронный,1,Не битый,RX 350 2.4 4WD AT (249 л.с.),2.4 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Серый,Левый,JTJC*************,Возможен,9 999 000
Lexus,IS,2005,II (2005—2008),153731 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,IS 250 2.5 4WD AT (208 л.с.),2.5 л,Бензин,Автомат,Полный,Базовая,Седан,Белый,Левый,JTHC*************,Не интересует,1 000 000
Lexus,RX,2013,III рестайлинг (2012—2015),109132 км,19 записей в отчёте Автотеки,,3,Не битый,RX 350 3.5 4WD AT (277 л.с.),3.5 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Белый,Левый,JTJB*************,Возможен,2 579 000
Lexus,NX,2021,AZ20 (2021—2023),9994 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,NX 250 2.5 4WD AT (200 л.с.),2.5 л,Бензин,Автомат,Полный,Executive,Внедорожник 5-дверный,Белый,Левый,JTJB*************,Не интересует,5 400 000
Lexus,RX,2019,IV (2015—2019),36209 км,6 записей в отчёте Автотеки,Электронный,1,Не битый,RX 350L 3.5 4WD AT (294 л.с.) 7 мест,3.5 л,Бензин,Автомат,Полный,RX 350L Premium,Внедорожник 5-дверный,Синий,Левый,JTJD*************,Возможен,4 449 000
Lexus,LX,2019,J200 рестайлинг 2 (2015—2023),123500 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,LX 570 5.7 4WD AT (367 л.с.),5.7 л,Бензин,Автомат,Полный,Superior,Внедорожник 5-дверный,Белый,Левый,JTJH*************,Не интересует,11 000 000
Lexus,RX,2023,V (2022—2023),1 км,,Электронный,1,Не битый,RX 350 2.4 4WD AT (249 л.с.),2.4 л,Бензин,Автомат,Полный,Luxury,Внедорожник 5-дверный,Белый,Левый,JTJC*************,,9 700 000
Lexus,NX,2015,Z10 (2014—2017),108655 км,5 записей в отчёте Автотеки,,1,Не битый,NX 200 2.0 4WD CVT (150 л.с.),2 л,Бензин,Вариатор,Полный,Luxury,Внедорожник 5-дверный,Серый,Левый,JTJB*************,,2 890 000
Lexus,RX,2022,V (2022—2023),12 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,RX 350 2.4 4WD AT (279 л.с.),2.4 л,Бензин,Автомат,Полный,F Sport 1,Внедорожник 5-дверный,Серый,Левый,2T2B*************,Возможен,8 700 000
Lexus,ES,2019,XV70 (2018—2021),82000 км,4 записи в отчёте Автотеки,Электронный,1,Не битый,ES 300h 2.5 CVT (215 л.с.),2.5 л,Гибрид,Вариатор,Передний,Base,Седан,Золотой,Левый,JTHB*************,Возможен,4 300 000
Lexus,GX,2012,J150 (2009—2013),238952 км,26 записей в отчёте Автотеки,Оригинал,2,Не битый,GX 460 4.6 4WD AT (296 л.с.),4.6 л,Бензин,Автомат,Полный,Premium,Внедорожник 5-дверный,Серый,Левый,JTJJ*************,Возможен,3 750 000
