Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Mazda,6,2014,GJ (2012—2015),141000 км,16 записей в отчёте Автотеки,,4+,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Active,Седан,Белый,Левый,RUMG*************,,1 690 000
Mazda,6,2014,GJ (2012—2015),189563 км,19 записей в отчёте Автотеки,,3,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,RUMG*************,Возможен,1 599 000
Mazda,6,2014,GJ (2012—2015),204835 км,14 записей в отчёте Автотеки,,3,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Supreme,Седан,Белый,Левый,RUMG*************,Возможен,1 470 000
Mazda,6,2013,GJ (2012—2015),155000 км,17 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Drive,Седан,Синий,Левый,JMZG*************,Возможен,1 350 000
Mazda,6,2008,GH (2007—2009),203528 км,18 записей в отчёте Автотеки,,2,Не битый,2.0 AT (147 л.с.),2 л,Бензин,Автомат,Передний,Touring,Седан,Серый,Левый,JMZG*************,Возможен,997 000
Mazda,6,2008,GH (2007—2009),270000 км,14 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.5 MT (170 л.с.),2.5 л,Бензин,Механика,Передний,Sport,Седан,Чёрный,Левый,JMZG*************,Не интересует,820 000
Mazda,3,2018,BM рестайлинг (2016—2019),98000 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.5 AT (120 л.с.),1.5 л,Бензин,Автомат,Передний,Exclusive,Седан,Синий,Левый,JMZB*************,Не интересует,2 250 000
Mazda,6,2017,GJ рестайлинг (2015—2018),125000 км,28 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Drive,Седан,Коричневый,Левый,RUMG*************,,1 850 000
Mazda,CX-5,2015,I (2011—2015),134081 км,3 записи в отчёте Автотеки,,1,Не битый,2.0 AT (150 л.с.),2 л,Бензин,Автомат,Передний,Active,Внедорожник 5-дверный,Белый,Левый,RUMK*************,,2 124 982
Mazda,6,2012,GH рестайлинг (2009—2013),184000 км,19 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 AT (147 л.с.),2 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,JMZG*************,Не интересует,1 200 000
Mazda,CX-5,2017,I рестайлинг (2015—2017),44900 км,Проверить в Автотеке,Оригинал,1,Не битый,2.0 4WD AT (150 л.с.),2 л,Бензин,Автомат,Полный,Active,Внедорожник 5-дверный,Красный,Левый,RUMK*************,,2 870 000
Mazda,6,2006,GG рестайлинг (2005—2008),188000 км,5 записей в отчёте Автотеки,,4+,Не битый,2.3 4WD AT (163 л.с.),2.3 л,Бензин,Автомат,Полный,Базовая,Универсал,Серый,Левый,JMZG*************,Не интересует,499 900
Mazda,MX-5,2011,NC рестайлинг (2008—2015),60002 км,11 записей в отчёте Автотеки,,4+,Не битый,2.0 AT (160 л.с.),2 л,Бензин,Автомат,Задний,,Кабриолет,Синий,Левый,JMZN*************,Возможен,1 939 000
Mazda,3,2007,BK рестайлинг (2006—2009),216000 км,14 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Красный,Левый,JMZB*************,Не интересует,620 000
Mazda,CX-5,2013,I (2011—2015),157000 км,22 записи в отчёте Автотеки,Оригинал,3,Не битый,2.5 4WD AT (192 л.с.),2.5 л,Бензин,Автомат,Полный,Active+,Внедорожник 5-дверный,Чёрный,Левый,RUMK*************,Возможен,1 696 000
Mazda,3,2014,BM (2013—2016),218000 км,15 записей в отчёте Автотеки,Оригинал,2,Не битый,1.5 AT (120 л.с.),1.5 л,Бензин,Автомат,Передний,Active+,Хетчбек 5-дверный,Синий,Левый,JMZB*************,Не интересует,1 316 000
Mazda,CX-5,2021,II (2017—2022),18000 км,4 записи в отчёте Автотеки,Электронный,1,Не битый,2.5 4WD AT (230 л.с.),2.5 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Синий,Левый,JM3K*************,Возможен,3 590 000
