Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Mercedes-Benz,Sprinter,2020,W907/910 (2018—2023),82095 км,3 записи в отчёте Автотеки,,1,Не битый,316 CDI 2.2 MT (163 л.с.),2.2 л,Дизель,Механика,Задний,Базовая,Микроавтобус,Белый,Левый,W1V9*************,,4 099 000
Mercedes-Benz,Sprinter,2019,W907/910 (2018—2023),98942 км,,,1,Не битый,211 CDI 2.2 FWD MT (114 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Белый,Левый,WDB9*************,,3 449 000
Mercedes-Benz,V-класс,2016,W447 (2014—2023),132123 км,5 записей в отчёте Автотеки,,2,Не битый,V 250 d 2.1 4MATIC AT L3 (190 л.с.),2.1 л,Дизель,Автомат,Полный,Базовая,Минивэн,Синий,Левый,WDF4*************,,5 950 000
Mercedes-Benz,CLS-класс,2013,C218/X218 (2010—2014),143173 км,13 записей в отчёте Автотеки,Оригинал,3,Не битый,CLS 350 CDI 3.0 4MATIC AT (265 л.с.),3 л,Дизель,Автомат,Полный,Base,Седан,Чёрный,Левый,WDD2*************,Возможен,2 280 000
Mercedes-Benz,E-класс,2019,W213/S213/C238/A238 (2016—2021),34001 км,2 записи в отчёте Автотеки,,1,Не битый,E 200 2.0 9G-Tronic (197 л.с.),2 л,Бензин,Автомат,Задний,,Седан,Белый,Левый,Z9M2*************,,4 725 000
Mercedes-Benz,GLA-класс,2020,H247 (2019—2023),33500 км,3 записи в отчёте Автотеки,Электронный,1,Не битый,GLA 250 2.0 4MATIC 8G-DCT (224 л.с.),2 л,Бензин,Робот,Полный,Progressive,Внедорожник 5-дверный,Серый,Левый,W1N2*************,Не интересует,4 490 000
Mercedes-Benz,W124,1993,W124/S124/C124/A124 (1984—1993),183000 км,3 записи в отчёте Автотеки,Оригинал,3,Не битый,230 2.3 MT5 (132 л.с.),2.3 л,Бензин,Механика,Задний,Базовая,Седан,Серебряный,Левый,WDB1*************,Не интересует,400 000
Mercedes-Benz,C-класс,2013,W204/S204/С204 рестайлинг (2011—2015),219000 км,30 записей в отчёте Автотеки,,4+,Не битый,C 180 1.6 7G-Tronic (156 л.с.),1.6 л,Бензин,Автомат,Задний,Особая серия,Седан,Серый,Левый,WDD2*************,,1 347 000
Mercedes-Benz,E-класс,1998,W210/S210 (1995—1999),350000 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,E 240 2.4 AT (170 л.с.),2.4 л,Бензин,Автомат,Задний,Базовая,Седан,Фиолетовый,Левый,WDB2*************,Не интересует,550 000
Mercedes-Benz,GLK-класс,2015,X204 рестайлинг (2012—2015),112786 км,4 записи в отчёте Автотеки,Электронный,2,Не битый,GLK 250 2.0 4MATIC 7G-Tronic (211 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WDC2*************,Возможен,2 190 000
Mercedes-Benz,Sprinter Classic,2017,I (1995—2023),72000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,313 CDI 2.1 MT (136 л.с.),2.1 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,XDN9*************,,2 700 000
Mercedes-Benz,E-класс,2014,W212/S212/C207/A207 рестайлинг (2013—2016),95616 км,6 записей в отчёте Автотеки,,1,Не битый,E 200 2.0 7G-Tronic (184 л.с.),2 л,Бензин,Автомат,Задний,,Седан,Белый,Левый,WDD2*************,,1 849 000
Mercedes-Benz,190 (W201),1993,W201 (1982—1993),333000 км,3 записи в отчёте Автотеки,Оригинал,4+,Не битый,190 E 1.8 MT (109 л.с.),1.8 л,Бензин,Механика,Задний,Базовая,Седан,Чёрный,Левый,WDB2*************,Не интересует,115 000
Mercedes-Benz,V-класс,2023,W447 (2014—2023),1590 км,,Электронный,1,Не битый,V 250 d 2.1 4MATIC AT (190 л.с.),2.1 л,Дизель,Автомат,Полный,Exclusive,Минивэн,Серый,Левый,W1VV*************,,11 498 000
Mercedes-Benz,B-класс,2007,W245 (2005—2009),239577 км,15 записей в отчёте Автотеки,,3,Не битый,B 200 2.0 CVT (136 л.с.),2 л,Бензин,Вариатор,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Левый,WDD2*************,Не интересует,730 000
Mercedes-Benz,E-класс,2010,W212/S212/C207/A207 (2009—2013),169000 км,34 записи в отчёте Автотеки,,4+,Не битый,E 200 1.8 5G-Tronic (184 л.с.),1.8 л,Бензин,Автомат,Задний,,Седан,Чёрный,Левый,WDD2*************,,1 290 000
Mercedes-Benz,C-класс,1998,W202 рестайлинг (1997—2001),350000 км,5 записей в отчёте Автотеки,,3,Не битый,C 200 2.0 MT (136 л.с.),2 л,Бензин,Механика,Задний,Базовая,Седан,Синий,Левый,WDB2*************,Не интересует,275 999
Mercedes-Benz,B-класс,2010,W245 рестайлинг (2008—2011),136849 км,8 записей в отчёте Автотеки,,1,Не битый,B 180 1.7 CVT (116 л.с.),1.7 л,Бензин,Вариатор,Передний,Особая серия,Хетчбек 5-дверный,Белый,Левый,WDD2*************,Не интересует,950 000
Mercedes-Benz,GLB-класс,2021,X247 (2019—2023),18073 км,7 записей в отчёте Автотеки,,2,Не битый,GLB 200 1.3 4MATIC 8G-DCT (150 л.с.),1.3 л,Бензин,Робот,Полный,Progressive,Внедорожник 5-дверный,Чёрный,Левый,W1N2*************,,4 550 000
Mercedes-Benz,GLS-класс,2018,X166 (2015—2019),89915 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,GLS 350d 3.0 4MATIC 9G-Tronic (249 л.с.),,Дизель,Автомат,Полный,Особая Серия,Внедорожник 5-дверный,Чёрный,Левый,WDC1*************,,5 990 000
Mercedes-Benz,GLK-класс,2010,X204 (2008—2012),162512 км,2 записи в отчёте Автотеки,,3,Не битый,GLK 220d 2.1 4MATIC 7G-Tronic (170 л.с.),2.1 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Красный,Левый,WDC2*************,,1 900 000
Mercedes-Benz,S-класс,2013,W221 рестайлинг (2009—2013),129369 км,10 записей в отчёте Автотеки,,3,Не битый,S 500 4.7 4MATIC 7G-Tronic (435 л.с.),4.7 л,Бензин,Автомат,Полный,,Седан,Чёрный,Левый,WDD2*************,,3 249 000
Mercedes-Benz,M-класс,2008,W164 рестайлинг (2008—2011),165000 км,18 записей в отчёте Автотеки,,3,Не битый,ML 500 5.5 4MATIC 7G-Tronic (388 л.с.),5.5 л,Бензин,Автомат,Полный,Особая серия,Внедорожник 5-дверный,Чёрный,Левый,WDC1*************,,1 679 000
Mercedes-Benz,GLE-класс Coupe,2021,C167 (2019—2023),23000 км,,,1,Не битый,GLE 400d 2.9 4MATIC 9G-Tronic (330 л.с.),2.9 л,Дизель,Автомат,Полный,GLE 400d,Внедорожник 5-дверный,Бежевый,Левый,W1NF*************,Не интересует,9 900 000
Mercedes-Benz,S-класс,2016,W222/C217/A217 (2013—2017),249080 км,27 записей в отчёте Автотеки,,3,Не битый,S 500 4.7 9G-Tronic (455 л.с.),4.7 л,Бензин,Автомат,Задний,Base,Седан,Синий,Левый,WDD2*************,,3 799 000
Mercedes-Benz,GLC-класс,2018,X253 (2015—2019),111000 км,,Электронный,1,Не битый,GLC 350e 2.0 4MATIC 7G-Tronic (211 л.с.),2 л,Гибрид,Автомат,Полный,Особая Серия,Внедорожник 5-дверный,Белый,Левый,WDC0*************,,4 250 000
Mercedes-Benz,CLA-класс AMG,2019,C118/X118 (2019—2023),22000 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,CLA 45 S 2.0 4MATIC 7G-DCT (421 л.с.),2 л,Бензин,Робот,Полный,Особая Серия,Седан,Серый,Левый,WDD1*************,Возможен,5 730 000
Mercedes-Benz,C-класс,2013,W204/S204/С204 рестайлинг (2011—2015),223000 км,26 записей в отчёте Автотеки,Дубликат,4+,Не битый,C 180 1.6 7G-Tronic (156 л.с.),1.6 л,Бензин,Автомат,Задний,,Седан,Серебряный,Левый,WDD2*************,Не интересует,1 400 000
