Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Mitsubishi,Outlander,2022,III рестайлинг 3 (2018—2023),24 км,,Электронный,1,Не битый,2.0 CVT (146 л.с.),2 л,Бензин,Вариатор,Передний,Inform,Внедорожник 5-дверный,Белый,Левый,LL66*************,Не интересует,2 650 000
Mitsubishi,L200,2022,V рестайлинг (2018—2023),96 км,Проверить в Автотеке,,1,Не битый,2.4 DID AT (181 л.с.),2.4 л,Дизель,Автомат,Полный,Instyle,Пикап,Белый,Левый,MMBN*************,,4 349 000
Mitsubishi,ASX,2012,I (2010—2013),370000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (117 л.с.),1.6 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Серый,Левый,JMBX*************,,1 000 000
Mitsubishi,Lancer,2005,IX рестайлинг (2005—2010),122000 км,Проверить в Автотеке,,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Красный,Левый,JMBS*************,,399 000
Mitsubishi,Outlander,2014,III (2012—2015),155138 км,12 записей в отчёте Автотеки,,1,Не битый,2.4 4WD CVT (167 л.с.),2.4 л,Бензин,Вариатор,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,Z8TX*************,,1 399 000
Mitsubishi,Lancer,2010,X (2007—2010),260000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.5 MT (109 л.с.),1.5 л,Бензин,Механика,Передний,Invite+,Седан,Чёрный,Левый,JMBS*************,Не интересует,900 000
Mitsubishi,Eclipse Cross,2020,I (2017—2020),40258 км,2 записи в отчёте Автотеки,,1,Не битый,1.5 4WD CVT (163 л.с.),1.5 л,Бензин,Вариатор,Полный,Base,Внедорожник 5-дверный,Серый,Левый,JA4A*************,,2 069 000
Mitsubishi,Pajero Pinin,2004,I (1998—2006),208000 км,23 записи в отчёте Автотеки,Оригинал,4+,Не битый,2.0 4WD AT (129 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Серый,Левый,JMP0*************,Не интересует,500 000
Mitsubishi,ASX,2013,I рестайлинг (2012—2016),117000 км,14 записей в отчёте Автотеки,,1,Не битый,1.8 CVT (140 л.с.),1.8 л,Бензин,Вариатор,Передний,Invite,Внедорожник 5-дверный,Голубой,Левый,JMBX*************,Не интересует,1 080 000
Mitsubishi,Outlander,2022,III рестайлинг 3 (2018—2023),107 км,Проверить в Автотеке,Электронный,1,Не битый,2.4 4WD CVT (167 л.с.),2.4 л,Бензин,Вариатор,Полный,Ultimate,Внедорожник 5-дверный,Белый,Левый,LL66*************,Возможен,4 130 000
