Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Nissan,Almera,2013,G15 (2012—2018),117151 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Comfort Plus,Седан,Белый,Левый,Z8NA*************,Возможен,795 000
Nissan,Note,2013,E11 рестайлинг (2008—2013),125152 км,13 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 MT (88 л.с.),1.4 л,Бензин,Механика,Передний,Luxury,Хетчбек 5-дверный,Белый,Левый,SJNF*************,,870 000
Nissan,Pathfinder,2011,III рестайлинг (2010—2014),284550 км,9 записей в отчёте Автотеки,,3,Не битый,3.0 dCi 4WD AT (231 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,VSKJ*************,Возможен,1 735 000
Nissan,Almera,2017,G15 (2012—2018),156000 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Comfort Plus,Седан,Белый,Левый,Z8NA*************,Возможен,649 000
Nissan,X-Trail,2007,II (2007—2011),248000 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 4WD CVT (141 л.с.),2 л,Бензин,Вариатор,Полный,LE,Внедорожник 5-дверный,Серебряный,Левый,JN1T*************,Не интересует,1 059 000
Nissan,X-Trail,2019,III рестайлинг (2017—2022),41302 км,9 записей в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (144 л.с.),2 л,Бензин,Вариатор,Полный,LE,Внедорожник 5-дверный,Оранжевый,Левый,Z8NT*************,,2 599 000
Nissan,Note,2012,E11 рестайлинг (2008—2013),148000 км,8 записей в отчёте Автотеки,,2,Не битый,1.4 MT (88 л.с.),1.4 л,Бензин,Механика,Передний,Comfort,Хетчбек 5-дверный,Белый,Левый,SJNF*************,,796 504
Nissan,Micra,2009,K12 (2002—2010),87000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.2 MT (80 л.с.),1.2 л,Бензин,Механика,Передний,Luxury,Хетчбек 5-дверный,Коричневый,Левый,SJNF*************,Возможен,399 999
Nissan,Almera Classic,2011,I (2006—2013),218753 км,24 записи в отчёте Автотеки,Оригинал,3,Не битый,1.6 AT (107 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Серебряный,Левый,KNMC*************,Не интересует,599 000
Nissan,Teana,2011,J32 рестайлинг (2011—2013),167000 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,2.5 4WD CVT (167 л.с.),2.5 л,Бензин,Вариатор,Полный,Elegance+Four,Седан,Чёрный,Левый,Z8NB*************,Не интересует,1 185 000
Nissan,X-Trail,2018,III рестайлинг (2017—2022),84000 км,Проверить в Автотеке,,1,Не битый,2.0 4WD CVT (144 л.с.),2 л,Бензин,Вариатор,Полный,SE+,Внедорожник 5-дверный,Зелёный,Левый,Z8NT*************,,2 400 000
Nissan,Juke,2013,I (2010—2014),128000 км,10 записей в отчёте Автотеки,,1,Не битый,1.6 MT (117 л.с.),1.6 л,Бензин,Механика,Передний,SE+ Sport,Внедорожник 5-дверный,Чёрный,Левый,SJNF*************,Возможен,859 000
Nissan,Qashqai,2012,I рестайлинг (2010—2013),125000 км,8 записей в отчёте Автотеки,,3,Не битый,2.0 CVT (141 л.с.),2 л,Бензин,Вариатор,Передний,SE,Внедорожник 5-дверный,Коричневый,Левый,SJNF*************,,1 295 000
Nissan,Almera,2016,G15 (2012—2018),58423 км,6 записей в отчёте Автотеки,,2,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Седан,Чёрный,Левый,Z8NA*************,,170 000
Nissan,Qashqai,2016,II (2013—2019),139131 км,10 записей в отчёте Автотеки,,1,Не битый,2.0 CVT (144 л.с.),2 л,Бензин,Вариатор,Передний,SE,Внедорожник 5-дверный,Белый,Левый,Z8NF*************,,1 691 000
Nissan,Terrano,2019,D10 (2014—2023),57333 км,8 записей в отчёте Автотеки,,1,Не битый,1.6 MT (114 л.с.),1.6 л,Бензин,Механика,Передний,Comfort,Внедорожник 5-дверный,Чёрный,Левый,Z8NH*************,,1 499 000
Nissan,Qashqai,2013,I рестайлинг (2010—2013),99363 км,19 записей в отчёте Автотеки,,1,Не битый,2.0 CVT (141 л.с.),2 л,Бензин,Вариатор,Передний,SE+,Внедорожник 5-дверный,Белый,Левый,SJNF*************,,1 349 000
Nissan,Almera,2014,G15 (2012—2018),61920 км,10 записей в отчёте Автотеки,,1,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Comfort A/C,Седан,Бежевый,Левый,Z8NA*************,,1 030 000
Nissan,Teana,2014,L33 (2014—2020),124000 км,26 записей в отчёте Автотеки,,2,Не битый,2.5 CVT (173 л.с.),2.5 л,Бензин,Вариатор,Передний,Elegance,Седан,Белый,Левый,Z8NB*************,Возможен,1 049 000
Nissan,Qashqai,2019,II рестайлинг (2017—2023),97382 км,4 записи в отчёте Автотеки,,1,Не битый,2.0 CVT (144 л.с.),2 л,Бензин,Вариатор,Передний,,Внедорожник 5-дверный,Чёрный,Левый,Z8NF*************,Возможен,1 899 000
Nissan,Qashqai,2018,II (2013—2019),70812 км,8 записей в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (144 л.с.),2 л,Бензин,Вариатор,Полный,,Внедорожник 5-дверный,Синий,Левый,Z8NF*************,Возможен,2 078 000
Nissan,Qashqai,2019,II рестайлинг (2017—2023),44924 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 CVT (144 л.с.),2 л,Бензин,Вариатор,Передний,SE,Внедорожник 5-дверный,Чёрный,Левый,Z8NF*************,Не интересует,1 850 000
Nissan,Murano,2013,Z51 рестайлинг 2 (2011—2015),125010 км,17 записей в отчёте Автотеки,Оригинал,3,Не битый,3.5 4WD CVT (249 л.с.),3.5 л,Бензин,Вариатор,Полный,SE+,Внедорожник 5-дверный,Бежевый,Левый,Z8NT*************,Не интересует,1 750 000
Nissan,X-Trail,2010,II (2007—2011),174000 км,16 записей в отчёте Автотеки,,3,Не битый,2.0 4WD CVT (141 л.с.),2 л,Бензин,Вариатор,Полный,SE,Внедорожник 5-дверный,Чёрный,Левый,JN1T*************,Не интересует,1 250 000
Nissan,Qashqai,2014,II (2013—2019),91600 км,31 запись в отчёте Автотеки,,2,Не битый,2.0 CVT (144 л.с.),2 л,Бензин,Вариатор,Передний,LE,Внедорожник 5-дверный,Синий,Левый,SJNF*************,,1 749 990
Nissan,Qashqai,2019,II рестайлинг (2017—2023),125869 км,14 записей в отчёте Автотеки,,2,Не битый,2.0 4WD CVT (144 л.с.),2 л,Бензин,Вариатор,Полный,SE,Внедорожник 5-дверный,Серебряный,Левый,Z8NF*************,Возможен,1 849 000
Nissan,Qashqai,2013,I рестайлинг (2010—2013),157856 км,20 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (114 л.с.),1.6 л,Бензин,Механика,Передний,SE,Внедорожник 5-дверный,Чёрный,Левый,SJNF*************,Не интересует,1 099 000
Nissan,Almera Classic,2006,I (2006—2013),188000 км,11 записей в отчёте Автотеки,Дубликат,3,Не битый,1.6 AT (107 л.с.),1.6 л,Бензин,Автомат,Передний,Базовая,Седан,Золотой,Левый,KNMC*************,Возможен,495 000
Nissan,Almera Classic,2007,I (2006—2013),260000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (107 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,KNMC*************,Возможен,450 000
Nissan,Qashqai,2012,I рестайлинг (2010—2013),163000 км,3 записи в отчёте Автотеки,,2,Не битый,1.6 MT (114 л.с.),1.6 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Коричневый,Левый,SJNF*************,Не интересует,1 385 000
Nissan,Qashqai,2012,I рестайлинг (2010—2013),185716 км,28 записей в отчёте Автотеки,,3,Не битый,1.6 CVT (117 л.с.),1.6 л,Бензин,Вариатор,Передний,XE,Внедорожник 5-дверный,Чёрный,Левый,SJNF*************,,1 149 900
Nissan,Qashqai,2017,II (2013—2019),173000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,2.0 4WD CVT (144 л.с.),2 л,Бензин,Вариатор,Полный,SE,Внедорожник 5-дверный,Чёрный,Левый,Z8NF*************,Возможен,1 829 000
Nissan,Qashqai,2019,II рестайлинг (2017—2023),109405 км,5 записей в отчёте Автотеки,,1,Не битый,2.0 CVT (144 л.с.),2 л,Бензин,Вариатор,Передний,LE,Внедорожник 5-дверный,Белый,Левый,Z8NF*************,,1 899 000
