Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Opel,Corsa,2012,D рестайлинг 2 (2011—2014),118000 км,11 записей в отчёте Автотеки,Дубликат,3,Не битый,1.2 MT (85 л.с.),1.2 л,Бензин,Механика,Передний,Color Edition,Хетчбек 5-дверный,Белый,Левый,W0L0*************,Не интересует,600 000
Opel,Mokka,2013,I (2012—2016),94292 км,7 записей в отчёте Автотеки,,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Enjoy,Внедорожник 5-дверный,Синий,Левый,XUUJ*************,,1 389 000
Opel,Astra,2013,J рестайлинг (2012—2018),75888 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,Active,Хетчбек 5-дверный,Коричневый,Левый,XUFP*************,Возможен,1 075 000
Opel,Zafira,2011,B рестайлинг (2008—2014),124000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Essentia,Минивэн,Серебряный,Левый,XWF0*************,,699 000
Opel,Mokka,2013,I (2012—2016),140000 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 Turbo 4WD MT (140 л.с.),1.4 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серый,Левый,XUUJ*************,Не интересует,1 290 000
Opel,Astra,2019,K (2015—2023),64000 км,11 записей в отчёте Автотеки,Электронный,1,Не битый,1.4 Turbo AT (150 л.с.),1.4 л,Бензин,Автомат,Передний,Базовая,Универсал,Серебряный,Левый,W0VB*************,Не интересует,1 695 000
Opel,Astra,2012,H рестайлинг (2006—2014),114386 км,5 записей в отчёте Автотеки,,2,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Cosmo,Хетчбек 5-дверный,Чёрный,Левый,XWF0*************,,799 000
Opel,Corsa,2012,D рестайлинг 2 (2011—2014),130444 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.2 MT (85 л.с.),1.2 л,Бензин,Механика,Передний,Enjoy,Хетчбек 3-дверный,Серебряный,Левый,W0L0*************,,665 000
Opel,Astra,2011,J (2009—2012),192000 км,18 записей в отчёте Автотеки,,4+,Не битый,1.6 Turbo AT (180 л.с.),1.6 л,Бензин,Автомат,Передний,Cosmo,Универсал,Белый,Левый,XWFP*************,Возможен,799 500
Opel,Corsa,2003,C (2000—2003),178000 км,8 записей в отчёте Автотеки,,4+,Не битый,1.2 AMT (75 л.с.),1.2 л,Бензин,Робот,Передний,Базовая,Хетчбек 5-дверный,Зелёный,Левый,W0L0*************,Возможен,329 999
Opel,Astra,2012,H рестайлинг (2006—2014),124000 км,9 записей в отчёте Автотеки,,2,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Enjoy,Седан,Серебряный,Левый,XWF0*************,,699 000
Opel,Zafira,2011,B рестайлинг (2008—2014),157240 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Cosmo,Минивэн,Синий,Левый,W0L0*************,Не интересует,860 000
Opel,Antara,2014,I рестайлинг (2010—2017),129500 км,31 запись в отчёте Автотеки,,1,Не битый,2.4 4WD AT (167 л.с.),2.4 л,Бензин,Автомат,Полный,Cosmo,Внедорожник 5-дверный,Чёрный,Левый,XUUL*************,,1 580 000
Opel,Astra GTC,2011,H рестайлинг (2006—2014),204000 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AMT (115 л.с.),1.6 л,Бензин,Робот,Передний,Enjoy,Хетчбек 3-дверный,Белый,Левый,XWF0*************,Не интересует,700 000
Opel,Antara,2014,I рестайлинг (2010—2017),141000 км,33 записи в отчёте Автотеки,Дубликат,4+,Не битый,2.2 CDTi 4WD AT (184 л.с.),2.2 л,Дизель,Автомат,Полный,Cosmo,Внедорожник 5-дверный,Серебряный,Левый,XUUL*************,,1 387 000
Opel,Astra,2011,H рестайлинг (2006—2014),201000 км,,Оригинал,2,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,XMF0*************,Не интересует,700 000
Opel,Astra,2013,J рестайлинг (2012—2018),141197 км,9 записей в отчёте Автотеки,,4+,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Active,Хетчбек 5-дверный,Серый,Левый,XUFP*************,,880 000
Opel,Astra,2013,J рестайлинг (2012—2018),165000 км,17 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Active,Хетчбек 5-дверный,Коричневый,Левый,XUFP*************,,848 000
Opel,Meriva,2012,B (2010—2014),50000 км,7 записей в отчёте Автотеки,,1,Не битый,1.4 MT (100 л.с.),1.4 л,Бензин,Механика,Передний,Active,Минивэн,Белый,Левый,XWFS*************,,1 250 000
Opel,Astra,2014,J рестайлинг (2012—2018),94507 км,12 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серебряный,Левый,XUFP*************,Возможен,959 000
Opel,Astra,2013,H рестайлинг (2006—2014),149000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Enjoy,Седан,Чёрный,Левый,XWF0*************,Не интересует,850 000
Opel,Astra,2012,H рестайлинг (2006—2014),206442 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Cosmo,Седан,Синий,Левый,XWF0*************,,690 000
Opel,Astra,2011,J (2009—2012),152000 км,8 записей в отчёте Автотеки,Дубликат,3,Не битый,1.4 Turbo MT (140 л.с.),1.4 л,Бензин,Механика,Передний,Enjoy,Хетчбек 5-дверный,Белый,Левый,XUFP*************,Не интересует,855 000
Opel,Astra,2013,J рестайлинг (2012—2018),169894 км,3 записи в отчёте Автотеки,,3,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Cosmo,Седан,Чёрный,Левый,XUFP*************,,930 000
Opel,Astra,2008,H рестайлинг (2006—2014),182000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AMT (115 л.с.),1.6 л,Бензин,Робот,Передний,Cosmo,Седан,Серебряный,Левый,W0L0*************,,499 000
Opel,Corsa,2012,D рестайлинг 2 (2011—2014),126395 км,13 записей в отчёте Автотеки,,3,Не битый,1.2 MT (85 л.с.),1.2 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Белый,Левый,W0L0*************,Возможен,619 000
Opel,Astra,2012,J рестайлинг (2012—2018),108240 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серый,Левый,XUFP*************,Возможен,849 000
Opel,Corsa,2010,D рестайлинг (2010—2011),210000 км,20 записей в отчёте Автотеки,Оригинал,3,Не битый,1.2 AMT (85 л.с.),1.2 л,Бензин,Робот,Передний,Like Edition,Хетчбек 3-дверный,Серебряный,Левый,W0L0*************,Не интересует,430 000
Opel,Zafira,2012,B рестайлинг (2008—2014),157754 км,5 записей в отчёте Автотеки,,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Family,Минивэн,Чёрный,Левый,XWF0*************,,860 000
Opel,Astra,1996,F (1991—2005),261649 км,2 записи в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (100 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Золотой,Левый,W0L0*************,Возможен,299 777
Opel,Astra,2000,G (1998—2009),208248 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (75 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Серебряный,Левый,W0L0*************,Не интересует,300 000
Opel,Astra,2013,J рестайлинг (2012—2018),111526 км,8 записей в отчёте Автотеки,,4+,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,Active,Хетчбек 5-дверный,Серебряный,Левый,XUFP*************,,850 000
Opel,Astra GTC,2012,J (2009—2012),159000 км,4 записи в отчёте Автотеки,,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Enjoy,Хетчбек 3-дверный,Чёрный,Левый,XWFP*************,,949 990
Opel,Mokka,2014,I (2012—2016),132120 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Cosmo,Внедорожник 5-дверный,Белый,Левый,XUUJ*************,,1 185 000
Opel,Astra,2010,H рестайлинг (2006—2014),230000 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AMT (115 л.с.),1.6 л,Бензин,Робот,Передний,,Седан,Серый,Левый,XWF0*************,Не интересует,570 000
Opel,Astra,2008,H рестайлинг (2006—2014),215957 км,12 записей в отчёте Автотеки,,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серебряный,Левый,W0L0*************,,377 000
Opel,Astra,2011,H рестайлинг (2006—2014),150000 км,13 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Cosmo,Универсал,Чёрный,Левый,XWF0*************,Возможен,550 000
Opel,Mokka,2013,I (2012—2016),98000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.4 4WD MT (140 л.с.),1.4 л,Бензин,Механика,Полный,Enjoy,Внедорожник 5-дверный,Серебряный,Левый,XUUJ*************,,1 380 000
Opel,Astra,2011,J (2009—2012),140000 км,10 записей в отчёте Автотеки,,4+,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,Cosmo,Хетчбек 5-дверный,Голубой,Левый,XUFP*************,,1 049 000
Opel,Insignia,2018,II (2017—2020),163000 км,,,1,Не битый,2.0 CDTi 4WD AT (210 л.с.),2 л,Дизель,Автомат,Полный,Базовая,Лифтбек,Чёрный,Левый,W0VZ*************,,2 349 900
Opel,Astra,2011,H рестайлинг (2006—2014),113655 км,13 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Enjoy,Хетчбек 5-дверный,Белый,Левый,XWF0*************,,620 000
Opel,Astra,2012,H рестайлинг (2006—2014),173870 км,9 записей в отчёте Автотеки,,3,Не битый,1.6 AMT (115 л.с.),1.6 л,Бензин,Робот,Передний,,Седан,Серебряный,Левый,W0L0*************,,615 000
Opel,Astra,2010,H рестайлинг (2006—2014),247561 км,10 записей в отчёте Автотеки,,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Cosmo,Седан,Белый,Левый,XWF0*************,,497 500
Opel,Corsa,2008,D (2006—2010),159980 км,8 записей в отчёте Автотеки,,3,Не битый,1.4 AT (90 л.с.),1.4 л,Бензин,Автомат,Передний,,Хетчбек 5-дверный,Чёрный,Левый,W0L0*************,Возможен,399 000
Opel,Vectra,2007,C рестайлинг (2005—2008),269000 км,15 записей в отчёте Автотеки,Дубликат,1,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Cosmo,Лифтбек,Чёрный,Левый,W0L0*************,Не интересует,659 000
Opel,Astra,2006,H (2004—2007),225300 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.4 MT (90 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Синий,Левый,W0L0*************,,425 000
Opel,Astra,2011,J (2009—2012),112750 км,12 записей в отчёте Автотеки,,3,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,Active,Хетчбек 5-дверный,Серый,Левый,XUFP*************,Возможен,860 000
Opel,Meriva,2008,A рестайлинг (2006—2010),255000 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Минивэн,Серебряный,Левый,W0L0*************,Возможен,435 000
Opel,Mokka,2014,I (2012—2016),123000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Серебряный,Левый,XUUJ*************,Не интересует,1 199 000
Opel,Astra,2009,H рестайлинг (2006—2014),138000 км,15 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Cosmo,Универсал,Серебряный,Левый,XUF0*************,,575 000
Opel,Astra,2007,H (2004—2007),250000 км,18 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.3 CDTi MT (90 л.с.),1.3 л,Дизель,Механика,Передний,Базовая,Хетчбек 5-дверный,Серый,Левый,W0L0*************,Не интересует,320 000
Opel,Astra,2012,H рестайлинг (2006—2014),190440 км,7 записей в отчёте Автотеки,,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серый,Левый,XWF0*************,,499 000
Opel,Zafira,2007,B (2005—2008),181000 км,6 записей в отчёте Автотеки,,4+,Не битый,1.8 AMT (140 л.с.),1.8 л,Бензин,Робот,Передний,Базовая,Минивэн,Чёрный,Левый,W0L0*************,Возможен,549 000
Opel,Corsa,2008,D (2006—2010),192000 км,19 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.2 AMT (80 л.с.),1.2 л,Бензин,Робот,Передний,Color Edition,Хетчбек 5-дверный,Голубой,Левый,W0L0*************,Не интересует,450 000
Opel,Astra GTC,2013,J рестайлинг (2011—2017),136000 км,19 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Sport,Хетчбек 3-дверный,Красный,Левый,XWFP*************,Не интересует,939 000
Opel,Astra,2013,J рестайлинг (2012—2018),137000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Enjoy,Универсал,Серебряный,Левый,XWFP*************,,780 000
Opel,Astra,2013,J рестайлинг (2012—2018),165000 км,12 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XUFP*************,Не интересует,1 050 000
Opel,Mokka,2013,I (2012—2016),87000 км,6 записей в отчёте Автотеки,,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Enjoy,Внедорожник 5-дверный,Белый,Левый,XUUJ*************,,1 370 000
Opel,Corsa,2008,D (2006—2010),192060 км,31 запись в отчёте Автотеки,,4+,Не битый,1.3 CDTi MT (75 л.с.),1.3 л,Дизель,Механика,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Левый,W0L0*************,,385 000
Opel,Mokka,2013,I (2012—2016),102743 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Cosmo,Внедорожник 5-дверный,Красный,Левый,XUUJ*************,Не интересует,1 225 000
Opel,Astra,2013,H рестайлинг (2006—2014),153000 км,4 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Enjoy,Хетчбек 5-дверный,Чёрный,Левый,XWF0*************,Не интересует,610 000
Opel,Astra,2013,H рестайлинг (2006—2014),145852 км,28 записей в отчёте Автотеки,,4+,Не битый,1.6 AMT (115 л.с.),1.6 л,Бензин,Робот,Передний,,Седан,Серебряный,Левый,XWF0*************,,595 000
Opel,Corsa,2007,D (2006—2010),231000 км,7 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.2 MT (80 л.с.),1.2 л,Бензин,Механика,Передний,,Хетчбек 3-дверный,Серый,Левый,W0L0*************,Не интересует,400 000
Opel,Corsa,2013,D рестайлинг 2 (2011—2014),171273 км,6 записей в отчёте Автотеки,,1,Не битый,1.2 AMT (85 л.с.),1.2 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Голубой,Левый,W0L0*************,Возможен,632 000
Opel,Astra GTC,2012,J рестайлинг (2011—2017),240000 км,9 записей в отчёте Автотеки,Дубликат,2,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Enjoy,Хетчбек 3-дверный,Чёрный,Левый,XWFP*************,Не интересует,890 000
Opel,Astra,2012,H рестайлинг (2006—2014),147565 км,7 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,XWF0*************,,720 000
Opel,Astra GTC,2012,J рестайлинг (2011—2017),141100 км,28 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Sport,Хетчбек 3-дверный,Чёрный,Левый,XWFP*************,Не интересует,777 000
Opel,Astra GTC,2010,H рестайлинг (2006—2014),115500 км,14 записей в отчёте Автотеки,,4+,Не битый,1.8 AT (140 л.с.),1.8 л,Бензин,Автомат,Передний,Cosmo,Хетчбек 3-дверный,Белый,Левый,XWF0*************,Возможен,655 000
Opel,Mokka,2012,I (2012—2016),165500 км,16 записей в отчёте Автотеки,,4+,Не битый,1.8 4WD AT (140 л.с.),1.8 л,Бензин,Автомат,Полный,Cosmo,Внедорожник 5-дверный,Белый,Левый,XUUJ*************,Возможен,965 000
Opel,Frontera,1992,A (1992—1998),448000 км,2 записи в отчёте Автотеки,,4+,Не битый,2.3 D 4WD MT (100 л.с.),2.3 л,Дизель,Механика,Полный,Базовая,Внедорожник 5-дверный,Бордовый,Левый,SED5*************,Возможен,239 999
Opel,Astra,2010,H рестайлинг (2006—2014),324000 км,Проверить в Автотеке,Оригинал,3,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серый,Левый,XWF0*************,,535 000
Opel,Mokka,2013,I (2012—2016),99200 км,7 записей в отчёте Автотеки,,2,Не битый,1.4 Turbo 4WD MT (140 л.с.),1.4 л,Бензин,Механика,Полный,Cosmo,Внедорожник 5-дверный,Белый,Левый,XUUJ*************,,1 099 000
Opel,Mokka,2015,I (2012—2016),149185 км,2 записи в отчёте Автотеки,,1,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Enjoy,Внедорожник 5-дверный,Серый,Левый,Y3WJ*************,,1 275 000
Opel,Astra,2012,H рестайлинг (2006—2014),177140 км,7 записей в отчёте Автотеки,,2,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XWF0*************,Не интересует,760 000
Opel,Astra,2010,J (2009—2012),180000 км,7 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Красный,Левый,W0LP*************,Не интересует,730 000
Opel,Mokka,2013,I (2012—2016),158411 км,11 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 MT (140 л.с.),1.8 л,Бензин,Механика,Передний,Enjoy,Внедорожник 5-дверный,Белый,Левый,XUUJ*************,Не интересует,983 999
Opel,Astra,2011,H рестайлинг (2006—2014),180000 км,9 записей в отчёте Автотеки,Дубликат,3,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Enjoy,Седан,Синий,Левый,XWF0*************,Возможен,730 000
Opel,Astra,2013,J рестайлинг (2012—2018),107000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Cosmo,Седан,Серебряный,Левый,XUFP*************,Не интересует,1 000 000
Opel,Astra,2013,J рестайлинг (2012—2018),131000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,Cosmo,Седан,Белый,Левый,XUFP*************,,990 000
Opel,Mokka,2012,I (2012—2016),75366 км,6 записей в отчёте Автотеки,,2,Не битый,1.8 4WD AT (140 л.с.),1.8 л,Бензин,Автомат,Полный,Cosmo,Внедорожник 5-дверный,Синий,Левый,XUUJ*************,,1 629 000
Opel,Astra,2011,J (2009—2012),176000 км,26 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 Turbo MT (140 л.с.),1.4 л,Бензин,Механика,Передний,Cosmo,Хетчбек 5-дверный,Серый,Левый,XUFP*************,Не интересует,750 000
Opel,Astra,2013,J рестайлинг (2012—2018),134000 км,12 записей в отчёте Автотеки,,4+,Не битый,1.4 Turbo AT (140 л.с.),1.4 л,Бензин,Автомат,Передний,Cosmo,Седан,Голубой,Левый,XUFP*************,,999 000
Opel,Meriva,2008,A рестайлинг (2006—2010),284000 км,8 записей в отчёте Автотеки,,3,Не битый,1.4 MT (90 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Минивэн,Чёрный,Левый,W0L0*************,Возможен,489 000
