Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Audi,A6,2011,C7 (2011—2014),178000 км,7 записей в отчёте Автотеки,,4+,Не битый,3.0 TDI quattro S tronic (245 л.с.),3 л,Дизель,Робот,Полный,Base,Седан,Белый,Левый,WAUZ*************,Возможен,1 689 000
Audi,A4,2012,B8 рестайлинг (2011—2015),216000 км,25 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 TFSI Multitronic (211 л.с.),2 л,Бензин,Вариатор,Передний,Base,Седан,Чёрный,Левый,WAUZ*************,Не интересует,1 800 000
Audi,A3,2015,8V (2012—2016),198609 км,10 записей в отчёте Автотеки,,2,Не битый,1.2 TFSI S tronic (110 л.с.),1.2 л,Бензин,Робот,Передний,Ambition,Хетчбек 5-дверный,Белый,Левый,WAUZ*************,Возможен,1 214 000
Audi,100,1992,C4 (1990—1994),314600 км,7 записей в отчёте Автотеки,,4+,Не битый,2.3 MT (133 л.с.),2.3 л,Бензин,Механика,Передний,Base,Седан,Красный,Левый,WAUZ*************,Возможен,585 000
Audi,Q7,2012,4L рестайлинг (2009—2015),257294 км,22 записи в отчёте Автотеки,,4+,Не битый,3.0 TDI quattro Tiptronic (245 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Коричневый,Левый,WAUZ*************,,2 390 000
Audi,Q3,2012,I (2011—2014),119393 км,9 записей в отчёте Автотеки,,1,Не битый,2.0 TFSI quattro S tronic (170 л.с.),2 л,Бензин,Робот,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WAUZ*************,,1 249 000
Audi,A6,2013,C7 (2011—2014),78000 км,26 записей в отчёте Автотеки,Оригинал,2,Не битый,2.0 TFSI Multitronic (180 л.с.),2 л,Бензин,Вариатор,Передний,Base,Седан,Чёрный,Левый,WAUZ*************,Не интересует,2 150 000
Audi,A6,2002,C5 рестайлинг (2001—2004),244032 км,3 записи в отчёте Автотеки,Оригинал,4+,Не битый,2.4 quattro MT (170 л.с.),2.4 л,Бензин,Механика,Полный,Base,Седан,Серебряный,Левый,WAUZ*************,Возможен,575 000
Audi,A6,2011,C7 (2011—2014),109600 км,13 записей в отчёте Автотеки,,4+,Не битый,3.0 TFSI quattro S tronic (300 л.с.),3 л,Бензин,Робот,Полный,Base,Седан,Чёрный,Левый,WAUZ*************,,1 480 000
Audi,A3,2013,8V (2012—2016),167300 км,22 записи в отчёте Автотеки,Оригинал,4+,Не битый,1.4 TFSI S tronic (122 л.с.),1.4 л,Бензин,Робот,Передний,Ambition,Седан,Чёрный,Левый,WAUZ*************,Не интересует,1 590 000
