Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Peugeot,Boxer,2013,II (2006—2014),237000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,2.2 HDi MT (130 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Белый,Левый,VF3Y*************,,1 259 000
Peugeot,Expert,2018,III (2016—2023),46621 км,13 записей в отчёте Автотеки,,1,Не битый,2.0 HDi MT (150 л.с.),2 л,Дизель,Механика,Передний,,Фургон,Синий,Левый,Z8TV*************,,2 663 000
Peugeot,Traveller,2022,I (2016—2023),40000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 HDi AT (150 л.с.),2 л,Дизель,Автомат,Передний,Active,Минивэн,Серый,Левый,Z8TV*************,Не интересует,4 000 000
Peugeot,308,2020,II рестайлинг (2017—2023),141111 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.5 HDi MT (130 л.с.),1.5 л,Дизель,Механика,Передний,Базовая,Универсал,Белый,Левый,VF3L*************,Не интересует,1 500 000
Peugeot,Partner,2014,II рестайлинг (2012—2015),157200 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (110 л.с.),1.6 л,Бензин,Механика,Передний,,Минивэн,Серый,Левый,VF37*************,Возможен,999 000
Peugeot,307,2006,3C рестайлинг (2005—2008),265123 км,15 записей в отчёте Автотеки,,4+,Не битый,1.6 AT (109 л.с.),1.6 л,Бензин,Автомат,Передний,,Хетчбек 5-дверный,Синий,Левый,VF33*************,,499 000
Peugeot,308,2011,I рестайлинг (2011—2015),216800 км,11 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (120 л.с.),1.6 л,Бензин,Механика,Передний,Access,Хетчбек 5-дверный,Серебряный,Левый,Z8T4*************,Возможен,439 300
Peugeot,Boxer,2014,II (2006—2014),100000 км,10 записей в отчёте Автотеки,Дубликат,1,Не битый,2.2 HDi MT (130 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Белый,Левый,VF3Y*************,Не интересует,1 300 000
Peugeot,408,2014,I (2012—2017),130000 км,10 записей в отчёте Автотеки,,4+,Не битый,1.6 AT (150 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,Z8T4*************,,999 000
Peugeot,Boxer,2014,II (2006—2014),250164 км,9 записей в отчёте Автотеки,,1,Не битый,2.2 HDi MT (130 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Белый,Левый,VF3Y*************,,1 690 000
Peugeot,308,2008,I (2007—2011),149000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 AT (140 л.с.),1.6 л,Бензин,Автомат,Передний,Sport Pack,Хетчбек 5-дверный,Чёрный,Левый,VF34*************,Возможен,449 999
Peugeot,Expert,2020,III (2016—2023),79310 км,Проверить в Автотеке,,2,Не битый,2.0 HDi MT (150 л.с.),2 л,Дизель,Механика,Передний,,Фургон,Белый,Левый,Z8TV*************,,3 050 000
Peugeot,308,2011,I рестайлинг (2011—2015),87769 км,8 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 AT (120 л.с.),1.6 л,Бензин,Автомат,Передний,,Хетчбек 5-дверный,Бежевый,Левый,Z8T4*************,,799 000
Peugeot,408,2016,I (2012—2017),98853 км,Проверить в Автотеке,Оригинал,1,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Белый,Левый,Z8T4*************,Не интересует,1 150 000
Peugeot,408,2016,I (2012—2017),141000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AT (120 л.с.),1.6 л,Бензин,Автомат,Передний,Style,Седан,Чёрный,Левый,Z8T4*************,,895 000
Peugeot,308,2009,I (2007—2011),183000 км,10 записей в отчёте Автотеки,,3,Не битый,1.6 AT (120 л.с.),1.6 л,Бензин,Автомат,Передний,Premium,Универсал,Серый,Левый,VF34*************,,499 000
