Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Renault,Kaptur,2018,I (2016—2020),77044 км,12 записей в отчёте Автотеки,,3,Не битый,2.0 4WD MT (143 л.с.),2 л,Бензин,Механика,Полный,Style,Внедорожник 5-дверный,Серебряный,Левый,X7LA*************,Возможен,1 844 400
Renault,Arkana,2019,I (2019—2023),110269 км,10 записей в отчёте Автотеки,,2,Не битый,1.3 TCe 4WD CVT (150 л.с.),1.3 л,Бензин,Вариатор,Полный,,Внедорожник 5-дверный,Серый,Левый,X7LR*************,Возможен,1 850 000
Renault,Duster,2021,II (2017—2023),37472 км,12 записей в отчёте Автотеки,,3,Не битый,1.3 TCe 4WD CVT (150 л.с.),1.3 л,Бензин,Вариатор,Полный,Drive,Внедорожник 5-дверный,Чёрный,Левый,X7LH*************,Возможен,1 959 000
Renault,Duster,2014,I (2010—2015),131400 км,13 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 AT (135 л.с.),2 л,Бензин,Автомат,Передний,Luxe Privilege,Внедорожник 5-дверный,Серый,Левый,X7LH*************,,1 250 000
Renault,Duster,2016,I рестайлинг (2015—2021),36620 км,5 записей в отчёте Автотеки,,2,Не битый,2.0 4WD MT (143 л.с.),2 л,Бензин,Механика,Полный,Privilege,Внедорожник 5-дверный,Чёрный,Левый,X7LH*************,Возможен,1 805 000
Renault,Duster,2015,I рестайлинг (2015—2021),250000 км,12 записей в отчёте Автотеки,Оригинал,1,Не битый,1.5 dCi 4WD MT (109 л.с.),1.5 л,Дизель,Механика,Полный,,Внедорожник 5-дверный,Зелёный,Левый,X7LH*************,Не интересует,1 081 000
Renault,Sandero,2011,I (2009—2014),197664 км,8 записей в отчёте Автотеки,,3,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Authentique,Хетчбек 5-дверный,Бежевый,Левый,X7LB*************,,499 000
Renault,Kaptur,2019,I (2016—2020),88970 км,6 записей в отчёте Автотеки,,1,Не битый,1.6 CVT (114 л.с.),1.6 л,Бензин,Вариатор,Передний,Drive,Внедорожник 5-дверный,Белый,Левый,X7LA*************,,1 420 000
Renault,Duster,2014,I (2010—2015),111000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 4WD MT (102 л.с.),1.6 л,Бензин,Механика,Полный,LE Adventure,Внедорожник 5-дверный,Синий,Левый,X7LH*************,,1 190 000
Renault,Sandero Stepway,2018,II (2013—2018),98300 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,Confort,Хетчбек 5-дверный,Золотой,Левый,X7L5*************,,1 155 000
Renault,Duster,2018,I рестайлинг (2015—2021),45571 км,9 записей в отчёте Автотеки,,1,Не битый,1.5 dCi 4WD MT (109 л.с.),1.5 л,Дизель,Механика,Полный,,Внедорожник 5-дверный,Белый,Левый,X7LH*************,Возможен,1 478 000
Renault,Sandero,2014,I (2009—2014),171600 км,12 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (84 л.с.),1.6 л,Бензин,Механика,Передний,Prestige,Хетчбек 5-дверный,Белый,Левый,X7LB*************,Возможен,619 999
Renault,Sandero,2010,I (2009—2014),198900 км,15 записей в отчёте Автотеки,,4+,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Authentique,Хетчбек 5-дверный,Бежевый,Левый,X7LB*************,Возможен,450 100
Renault,Sandero Stepway,2020,II рестайлинг (2018—2023),41000 км,2 записи в отчёте Автотеки,,1,Не битый,1.6 MT (113 л.с.),1.6 л,Бензин,Механика,Передний,Life,Хетчбек 5-дверный,Синий,Левый,X7L5*************,,1 550 000
