Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Renault,Kaptur,2019,I (2016—2020),98183 км,5 записей в отчёте Автотеки,,3,Не битый,2.0 4WD MT (143 л.с.),2 л,Бензин,Механика,Полный,Drive,Внедорожник 5-дверный,Серый,Левый,X7LA*************,,1 807 493
Renault,Koleos,2018,II (2016—2019),58000 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (144 л.с.),2 л,Бензин,Вариатор,Полный,,Внедорожник 5-дверный,Белый,Левый,VF1R*************,,2 418 000
Renault,Logan,2016,II (2012—2018),86200 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (113 л.с.),1.6 л,Бензин,Механика,Передний,Privilege,Седан,Серебряный,Левый,X7L4*************,,895 000
Renault,Duster,2018,I рестайлинг (2015—2021),64904 км,12 записей в отчёте Автотеки,,2,Не битый,1.5 dCi 4WD MT (109 л.с.),1.5 л,Дизель,Механика,Полный,Dakar Edition,Внедорожник 5-дверный,Оранжевый,Левый,X7LH*************,,1 660 000
Renault,Logan,2014,II (2012—2018),158016 км,10 записей в отчёте Автотеки,,3,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,Privilege,Седан,Белый,Левый,X7L4*************,Возможен,665 000
Renault,Kaptur,2016,I (2016—2020),120053 км,16 записей в отчёте Автотеки,,4+,Не битый,1.6 CVT (114 л.с.),1.6 л,Бензин,Вариатор,Передний,,Внедорожник 5-дверный,Белый,Левый,X7LA*************,Возможен,1 266 000
Renault,Scenic,2011,III (2009—2012),220223 км,8 записей в отчёте Автотеки,,3,Не битый,1.6 MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Authentique,Минивэн,Чёрный,Левый,VF1J*************,Возможен,842 000
Renault,Arkana,2020,I (2019—2023),90897 км,12 записей в отчёте Автотеки,,1,Не битый,1.6 MT (114 л.с.),1.6 л,Бензин,Механика,Передний,Life,Внедорожник 5-дверный,Коричневый,Левый,X7LR*************,,1 970 000
Renault,Kaptur,2020,I (2016—2020),38000 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 MT (114 л.с.),1.6 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Бежевый,Левый,X7LA*************,,1 950 000
Renault,Master,2008,II (2002—2010),300000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,2.5 TD MT (120 л.с.),2.5 л,Дизель,Механика,Передний,Базовая,Фургон,Белый,Левый,VF1F*************,Не интересует,980 000
Renault,Sandero Stepway,2020,II рестайлинг (2018—2023),59716 км,10 записей в отчёте Автотеки,,1,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,X7L5*************,Возможен,1 499 000
Renault,Duster,2019,I рестайлинг (2015—2021),50000 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 4WD MT (114 л.с.),1.6 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Белый,Левый,X7LH*************,,1 617 000
Renault,Duster,2019,I рестайлинг (2015—2021),90500 км,5 записей в отчёте Автотеки,,1,Не битый,2.0 4WD MT (143 л.с.),2 л,Бензин,Механика,Полный,Life,Внедорожник 5-дверный,Белый,Левый,X7LH*************,,1 720 000
Renault,Arkana,2021,I (2019—2023),41521 км,2 записи в отчёте Автотеки,,1,Не битый,1.6 4WD MT (114 л.с.),1.6 л,Бензин,Механика,Полный,Drive,Внедорожник 5-дверный,Серый,Левый,X7LR*************,,2 230 000
Renault,Talisman,2017,I (2015—2020),165000 км,4 записи в отчёте Автотеки,Электронный,1,Не битый,1.5 D AMT (110 л.с.),1.5 л,Дизель,Робот,Передний,Базовая,Универсал,Серебряный,Левый,VF1R*************,Не интересует,1 890 000
