Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Skoda,Superb,2012,II (2008—2013),187000 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,1.8 TSI AT (152 л.с.),1.8 л,Бензин,Автомат,Передний,Elegance,Лифтбек,Бордовый,Левый,TMBA*************,,1 395 000
Skoda,Octavia,2015,III (2013—2017),156500 км,8 записей в отчёте Автотеки,,3,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Ambition,Лифтбек,Коричневый,Левый,XW8A*************,Возможен,1 396 000
Skoda,Rapid,2019,I рестайлинг (2017—2020),164361 км,7 записей в отчёте Автотеки,,1,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,,Лифтбек,Белый,Левый,XW8A*************,Возможен,1 159 000
Skoda,Octavia,2010,II рестайлинг (2008—2013),146318 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MPI MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Elegance,Лифтбек,Серый,Левый,XW8D*************,Не интересует,780 000
Skoda,Octavia,2018,III рестайлинг (2017—2020),122500 км,26 записей в отчёте Автотеки,,1,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,,Лифтбек,Белый,Левый,XW8A*************,Возможен,1 799 000
Skoda,Rapid,2019,I рестайлинг (2017—2020),50564 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Hockey Edition Active,Лифтбек,Белый,Левый,XW8A*************,,1 649 000
Skoda,Octavia,2011,II рестайлинг (2008—2013),169138 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.8 TSI MT (152 л.с.),1.8 л,Бензин,Механика,Передний,Elegance,Лифтбек,Синий,Левый,XW8C*************,Не интересует,975 000
Skoda,Fabia,2012,II рестайлинг (2010—2014),125000 км,7 записей в отчёте Автотеки,,2,Не битый,1.2 MT (70 л.с.),1.2 л,Бензин,Механика,Передний,Active,Хетчбек 5-дверный,Красный,Левый,TMBE*************,,715 446
Skoda,Rapid,2020,II (2019—2023),43400 км,9 записей в отчёте Автотеки,Электронный,1,Не битый,1.4 TSI DSG (125 л.с.),1.4 л,Бензин,Робот,Передний,,Лифтбек,Серый,Левый,XW8A*************,,1 669 999
Skoda,Octavia,2015,III (2013—2017),144001 км,17 записей в отчёте Автотеки,,4+,Не битый,1.8 TSI 4WD DSG (180 л.с.),1.8 л,Бензин,Робот,Полный,,Универсал,Серебряный,Левый,TMBL*************,,2 000 000
Skoda,Octavia,2012,II рестайлинг (2008—2013),180000 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 TSI AT (152 л.с.),1.8 л,Бензин,Автомат,Передний,Elegance,Лифтбек,Серый,Левый,XW8B*************,Не интересует,940 000
Skoda,Rapid,2017,I рестайлинг (2017—2020),165000 км,8 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Ambition,Лифтбек,Серебряный,Левый,XW8A*************,Возможен,1 250 000
Skoda,Octavia,2008,I рестайлинг (2000—2011),105000 км,7 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 MPI MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Tour,Лифтбек,Серый,Левый,XW8D*************,Не интересует,580 000
Skoda,Kodiaq,2023,I рестайлинг (2021—2023),1 км,,Электронный,1,Не битый,2.0 TSI 4WD DSG (220 л.с.),2 л,Бензин,Робот,Полный,Style Plus,Внедорожник 5-дверный,Серый,Левый,LSVZ*************,Не интересует,4 990 000
Skoda,Octavia,2018,III рестайлинг (2017—2020),112913 км,10 записей в отчёте Автотеки,,1,Не битый,1.6 MPI MT (110 л.с.),1.6 л,Бензин,Механика,Передний,,Лифтбек,Синий,Левый,XW8A*************,Возможен,1 800 000
Skoda,Karoq,2020,I (2017—2023),66400 км,12 записей в отчёте Автотеки,Электронный,2,Не битый,1.4 TSI 4WD DSG (150 л.с.),1.4 л,Бензин,Робот,Полный,Ambition,Внедорожник 5-дверный,Серебряный,Левый,XW8L*************,Возможен,2 890 000
