Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Suzuki,SX4,2007,I (2006—2009),203000 км,5 записей в отчёте Автотеки,,2,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Левый,JSAG*************,,680 000
Suzuki,Liana,2005,I рестайлинг (2004—2008),132000 км,17 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (107 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Синий,Левый,JSAE*************,,440 000
Suzuki,Grand Vitara,2010,II рестайлинг (2008—2012),182000 км,9 записей в отчёте Автотеки,,1,Не битый,2.0 4WD AT (140 л.с.),2 л,Бензин,Автомат,Полный,JLX-E SE,Внедорожник 5-дверный,Серебряный,Левый,JSAJ*************,Возможен,979 000
Suzuki,Grand Vitara,2006,II (2005—2008),326721 км,4 записи в отчёте Автотеки,,4+,Не битый,2.0 4WD AT (140 л.с.),2 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Серебряный,Левый,JSAJ*************,,690 000
Suzuki,Ertiga,2023,II (2018—2023),22 км,,,1,Не битый,1.5 AT (105 л.с.),1.5 л,Бензин,Автомат,Передний,Базовая,Минивэн,Белый,Левый,MA3N*************,Не интересует,2 499 000
Suzuki,Vitara,2019,II рестайлинг (2018—2023),98000 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 AT (117 л.с.),1.6 л,Бензин,Автомат,Передний,,Внедорожник 5-дверный,Серый,Левый,TSML*************,,2 000 000
Suzuki,Grand Vitara,2013,II рестайлинг 2 (2012—2016),112001 км,9 записей в отчёте Автотеки,,2,Не битый,2.0 4WD MT (140 л.с.),2 л,Бензин,Механика,Полный,JLX-A,Внедорожник 5-дверный,Белый,Левый,JSAJ*************,Возможен,1 613 000
Suzuki,SX4,2011,I рестайлинг (2009—2014),144000 км,10 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (112 л.с.),1.6 л,Бензин,Механика,Передний,GL,Внедорожник 5-дверный,Зелёный,Левый,TSME*************,,845 000
Suzuki,SX4,2013,I рестайлинг (2009—2014),204421 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 4WD MT (112 л.с.),1.6 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Белый,Левый,TSME*************,,1 050 000
Suzuki,Grand Vitara,2013,II рестайлинг 2 (2012—2016),177200 км,21 запись в отчёте Автотеки,,3,Не битый,1.6 4WD MT (106 л.с.),1.6 л,Бензин,Механика,Полный,Jx-A,Внедорожник 3-дверный,Серый,Левый,JSAJ*************,Возможен,1 485 000
