Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Toyota,Camry,2022,XV70 рестайлинг (2020—2023),35 км,2 записи в отчёте Автотеки,,1,Не битый,2.5 AT (200 л.с.),2.5 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,JTNB*************,,3 910 000
Toyota,Camry,2020,XV70 (2017—2021),64512 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Prestige Safety,Седан,Чёрный,Левый,XW7B*************,Возможен,3 399 000
Toyota,Corolla,2010,X рестайлинг (2010—2013),245188 км,13 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (124 л.с.),1.6 л,Бензин,Механика,Передний,Elegance,Седан,Чёрный,Левый,JTNB*************,,909 000
Toyota,Camry,2022,XV70 рестайлинг (2020—2023),213 км,Проверить в Автотеке,,1,Не битый,2.5 AT (204 л.с.),2.5 л,Бензин,Автомат,Передний,LE,Седан,Чёрный,Левый,LVGB*************,,4 149 000
Toyota,Corolla,2023,XII (2018—2023),110 км,Проверить в Автотеке,,1,Не битый,1.5 CVT (121 л.с.),1.5 л,Бензин,Вариатор,Передний,Pioneer,Седан,Белый,Левый,LFMA*************,,2 699 000
Toyota,RAV4,2016,IV рестайлинг (2015—2019),98000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,2.0 4WD CVT (146 л.с.),2 л,Бензин,Вариатор,Полный,Comfort Plus,Внедорожник 5-дверный,Чёрный,Левый,JTMR*************,Не интересует,2 600 000
Toyota,RAV4,2014,IV (2012—2015),150000 км,6 записей в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (146 л.с.),2 л,Бензин,Вариатор,Полный,,Внедорожник 5-дверный,Золотой,Левый,JTMB*************,Не интересует,2 400 000
Toyota,RAV4,2017,IV рестайлинг (2015—2019),137323 км,10 записей в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (146 л.с.),2 л,Бензин,Вариатор,Полный,,Внедорожник 5-дверный,Белый,Левый,XW7R*************,Возможен,2 769 000
Toyota,Yaris,1999,I (1999—2003),217000 км,6 записей в отчёте Автотеки,,4+,Не битый,1.0 MT (68 л.с.),1 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Жёлтый,Левый,JTDK*************,,310 000
Toyota,Camry,2022,XV70 рестайлинг (2020—2023),3148 км,4 записи в отчёте Автотеки,,1,Не битый,2.5 AT (209 л.с.),2.5 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,JTNB*************,Возможен,4 099 000
Toyota,Camry,2019,XV70 (2017—2021),74746 км,13 записей в отчёте Автотеки,,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,,Седан,Белый,Левый,XW7B*************,Возможен,3 720 000
Toyota,Camry,2011,XV50 (2011—2014),140606 км,Проверить в Автотеке,Оригинал,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Prestige Plus,Седан,Чёрный,Левый,JTNB*************,,2 600 000
Toyota,RAV4,2022,V (2018—2023),17 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (149 л.с.),2 л,Бензин,Вариатор,Полный,Style,Внедорожник 5-дверный,Чёрный,Левый,JTMR*************,Возможен,4 800 000
Toyota,Land Cruiser Prado,2021,150 рестайлинг 2 (2017—2023),39076 км,9 записей в отчёте Автотеки,,1,Не битый,4.0 AT (249 л.с.),4 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,JTEB*************,Возможен,7 499 000
Toyota,Camry,2023,XV70 рестайлинг (2020—2023),77 км,,,1,Не битый,2.5 AT (204 л.с.),2.5 л,Бензин,Автомат,Передний,LE,Седан,Белый,Левый,LVGB*************,,4 089 000
Toyota,RAV4,2020,V (2018—2023),89340 км,3 записи в отчёте Автотеки,,1,Не битый,2.0 4WD CVT (149 л.с.),2 л,Бензин,Вариатор,Полный,Комфорт,Внедорожник 5-дверный,Серебряный,Левый,XW7R*************,,3 435 000
Toyota,Land Cruiser,2023,300 (2021—2023),1 км,,Электронный,1,Не битый,3.5 AT (415 л.с.),3.5 л,Бензин,Автомат,Полный,Премиум 70th Anniversary,Внедорожник 5-дверный,Чёрный,Левый,JTMA*************,,14 800 000
Toyota,Camry,2020,XV70 (2017—2021),208000 км,21 запись в отчёте Автотеки,Оригинал,1,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Elegance Safety,Седан,Чёрный,Левый,XW7B*************,Возможен,2 930 000
Toyota,Camry,2023,XV70 рестайлинг (2020—2023),49 км,Проверить в Автотеке,,1,Не битый,2.5 AT (209 л.с.),2.5 л,Бензин,Автомат,Передний,,Седан,Чёрный,Левый,LVGB*************,Возможен,4 100 000
Toyota,Camry,2018,XV70 (2017—2021),160000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.5 AT (181 л.с.),2.5 л,Бензин,Автомат,Передний,Elegance Safety,Седан,Чёрный,Левый,XW7B*************,Не интересует,2 780 000
Toyota,Land Cruiser Prado,2017,150 рестайлинг 2 (2017—2023),43579 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,2.8 D-4D AT (177 л.с.),2.8 л,Дизель,Автомат,Полный,Elegance,Внедорожник 5-дверный,Серый,Левый,JTEB*************,,4 999 000
