Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Volkswagen,Amarok,2014,I (2010—2016),146000 км,14 записей в отчёте Автотеки,,3,Не битый,2.0 TDI 4Motion MT (180 л.с.),2 л,Дизель,Механика,Полный,Базовая,Пикап,Чёрный,Левый,WV1Z*************,Возможен,1 549 000
Volkswagen,Polo,2019,V рестайлинг (2015—2020),95000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI MT (110 л.с.),1.6 л,Бензин,Механика,Передний,Football Edition,Седан,Коричневый,Левый,XW8Z*************,Не интересует,1 200 000
Volkswagen,Polo,2019,V рестайлинг (2015—2020),83000 км,10 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MPI MT (90 л.с.),1.6 л,Бензин,Механика,Передний,Drive,Седан,Белый,Левый,XW8Z*************,Не интересует,950 000
Volkswagen,Polo,2018,V рестайлинг (2015—2020),71500 км,14 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 TSI MT (125 л.с.),1.4 л,Бензин,Механика,Передний,GT,Седан,Серебряный,Левый,XW8Z*************,Не интересует,1 480 000
Volkswagen,Tiguan,2015,I рестайлинг (2011—2017),119400 км,5 записей в отчёте Автотеки,,2,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,,1 679 990
Volkswagen,Touareg,2007,I рестайлинг (2006—2010),280000 км,23 записи в отчёте Автотеки,Оригинал,3,Не битый,3.0 V6 TDI AT (240 л.с.),3 л,Дизель,Автомат,Полный,R-Line,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,Не интересует,1 300 000
Volkswagen,Touareg,2012,II (2010—2014),280000 км,7 записей в отчёте Автотеки,,4+,Не битый,3.0 TDI 4Motion AT (245 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Не интересует,2 000 000
Volkswagen,Polo,2018,V рестайлинг (2015—2020),103900 км,25 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 TSI DSG (125 л.с.),1.4 л,Бензин,Робот,Передний,GT,Седан,Белый,Левый,XW8Z*************,Не интересует,1 465 000
Volkswagen,Golf,2007,Mk5 (2003—2009),150000 км,12 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (102 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Хетчбек 5-дверный,Синий,Левый,WVWZ*************,,650 000
Volkswagen,Golf,2001,Mk4 (1997—2006),125000 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.4 MT (75 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,WVWZ*************,Не интересует,715 000
Volkswagen,Polo,2011,V (2009—2015),48000 км,14 записей в отчёте Автотеки,,1,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,XW8Z*************,,888 000
Volkswagen,Tiguan,2010,I (2007—2011),167000 км,17 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 TSI 4Motion AT (170 л.с.),2 л,Бензин,Автомат,Полный,Track&Field,Внедорожник 5-дверный,Серебряный,Левый,XW8Z*************,Не интересует,1 299 000
