Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Volkswagen,Touareg,2019,III (2018—2023),93928 км,18 записей в отчёте Автотеки,,3,Не битый,2.0 TSI AT (249 л.с.),2 л,Бензин,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,,6 799 000
Volkswagen,Transporter,2001,T4 (1990—2003),355000 км,3 записи в отчёте Автотеки,Оригинал,4+,Не битый,2.5 MT (102 л.с.),2.5 л,Дизель,Механика,Передний,Базовая,Минивэн,Белый,Левый,WV2Z*************,Не интересует,950 000
Volkswagen,Jetta,2018,VI рестайлинг (2014—2019),145059 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,Comfortline,Седан,Серебряный,Левый,XW8Z*************,Возможен,1 649 000
Volkswagen,Touareg,2009,I рестайлинг (2006—2010),243594 км,13 записей в отчёте Автотеки,,4+,Не битый,3.0 V6 TDI AT (240 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Чёрный,Левый,WVGZ*************,Возможен,1 299 000
Volkswagen,Polo,2021,VI (2020—2023),80003 км,9 записей в отчёте Автотеки,,1,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,,Лифтбек,Белый,Левый,XW8Z*************,Возможен,1 869 000
Volkswagen,Tiguan,2018,II (2016—2020),63805 км,33 записи в отчёте Автотеки,,3,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,City,Внедорожник 5-дверный,Коричневый,Левый,XW8Z*************,Возможен,2 498 200
Volkswagen,Tiguan,2019,II (2016—2020),243793 км,34 записи в отчёте Автотеки,,2,Не битый,1.4 TSI 4MOTION DSG (150 л.с.),1.4 л,Бензин,Робот,Полный,,Внедорожник 5-дверный,Белый,Левый,XW8Z*************,Возможен,2 275 000
Volkswagen,Polo,2018,V рестайлинг (2015—2020),99105 км,Проверить в Автотеке,,1,Не битый,1.4 TSI MT (125 л.с.),1.4 л,Бензин,Механика,Передний,Drive,Седан,Белый,Левый,XW8Z*************,,1 450 000
Volkswagen,Tiguan,2012,I рестайлинг (2011—2017),174582 км,11 записей в отчёте Автотеки,,3,Не битый,1.4 TSI MT (122 л.с.),1.4 л,Бензин,Механика,Передний,,Внедорожник 5-дверный,Серебряный,Левый,XW8Z*************,Возможен,1 239 000
Volkswagen,Polo,2021,VI (2020—2023),21090 км,10 записей в отчёте Автотеки,,2,Не битый,1.6 MPI AT (110 л.с.),1.6 л,Бензин,Автомат,Передний,,Лифтбек,Коричневый,Левый,XW8Z*************,Возможен,1 999 000
Volkswagen,Passat,1989,B3 (1988—1997),308000 км,3 записи в отчёте Автотеки,Дубликат,2,Не битый,1.6 MT (72 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серый,Левый,WVWZ*************,Не интересует,250 000
Volkswagen,Jetta,2015,VI рестайлинг (2014—2019),165000 км,15 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MPI AT (105 л.с.),1.6 л,Бензин,Автомат,Передний,Highline,Седан,Белый,Левый,XW8Z*************,Возможен,1 499 999
Volkswagen,Touareg,2013,II (2010—2014),220000 км,27 записей в отчёте Автотеки,Оригинал,3,Не битый,3.0 TDI 4Motion AT (204 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Серый,Левый,XW8Z*************,Не интересует,3 300 000
Volkswagen,Tiguan,2019,II (2016—2020),118538 км,4 записи в отчёте Автотеки,,1,Не битый,1.4 TSI DSG (150 л.с.),1.4 л,Бензин,Робот,Передний,Comfortline,Внедорожник 5-дверный,Чёрный,Левый,XW8Z*************,Возможен,2 290 000
Volkswagen,Polo,2011,V (2009—2015),162828 км,10 записей в отчёте Автотеки,,4+,Не битый,1.6 MPI MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Trendline,Седан,Серый,Левый,XW8Z*************,Возможен,764 000
