Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ВАЗ (LADA),4x4 (Нива),2012,I (1977—2019),101000 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,Luxe,Внедорожник 3-дверный,Зелёный,Левый,XTA2*************,Возможен,430 000
ВАЗ (LADA),Kalina,2008,I (2004—2013),175000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Зелёный,Левый,XTA1*************,Не интересует,249 999
ВАЗ (LADA),Vesta Cross,2018,I (2017—2023),82250 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Универсал,Серый,Левый,XTAG*************,Возможен,1 200 000
ВАЗ (LADA),2106,1996,I (1976—2006),200000 км,Проверить в Автотеке,,4+,Не битый,1.6 MT (75 л.с.),1.6 л,Бензин,Механика,Задний,Базовая,Седан,Зелёный,Левый,XTA2*************,Не интересует,35 000
ВАЗ (LADA),Kalina,2012,I (2004—2013),266000 км,8 записей в отчёте Автотеки,,2,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Синий,Левый,XTA1*************,,260 000
ВАЗ (LADA),Priora,2013,I (2007—2013),122000 км,6 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Норма,Хетчбек 5-дверный,Серебряный,Левый,XTA2*************,,399 000
ВАЗ (LADA),Niva Legend Bronto,2021,I (2021—2023),10639 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,Luxe,Внедорожник 3-дверный,Серый,Левый,X6D2*************,Не интересует,1 069 000
ВАЗ (LADA),4x4 (Нива),2015,I (1977—2019),79000 км,6 записей в отчёте Автотеки,,1,Не битый,1.7 4WD MT (83 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серебряный,Левый,XTA2*************,,560 000
ВАЗ (LADA),Granta,2014,I (2011—2018),137245 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Norma,Седан,Белый,Левый,XTA2*************,Не интересует,469 000
ВАЗ (LADA),Largus Cross,2021,I рестайлинг (2021—2023),46135 км,7 записей в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Серый,Левый,XTAK*************,,1 584 000
ВАЗ (LADA),Vesta,2021,I (2015—2023),43803 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Classic Start,Универсал,Чёрный,Левый,XTAG*************,,1 186 000
ВАЗ (LADA),2111,2004,I (1997—2014),163500 км,6 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.5 MT (79 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Универсал,Бежевый,Левый,XTA2*************,Не интересует,70 000
ВАЗ (LADA),Priora,2010,I (2007—2013),181956 км,8 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,Возможен,259 000
ВАЗ (LADA),XRAY,2017,I (2015—2023),82366 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Коричневый,Левый,XTAG*************,Возможен,849 000
ВАЗ (LADA),Kalina,2013,II (2013—2018),129000 км,11 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Белый,Левый,XTA2*************,Возможен,482 000
ВАЗ (LADA),2107,2011,I (1982—2012),150000 км,Проверить в Автотеке,Оригинал,1,Не битый,1.5 MT (72 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Седан,Серебряный,Левый,XTA2*************,Не интересует,190 000
ВАЗ (LADA),Vesta Cross,2019,I (2017—2023),57000 км,3 записи в отчёте Автотеки,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Luxe,Универсал,Серый,Левый,XTAG*************,,1 520 000
ВАЗ (LADA),Kalina,2007,I (2004—2013),247000 км,Проверить в Автотеке,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,XTA1*************,Не интересует,297 000
ВАЗ (LADA),Kalina,2008,I (2004—2013),253000 км,10 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (89 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Серебряный,Левый,XTA1*************,Не интересует,200 000
ВАЗ (LADA),XRAY,2019,I (2015—2023),87000 км,Проверить в Автотеке,,1,Не битый,1.8 AMT (122 л.с.),1.8 л,Бензин,Робот,Передний,Luxe,Хетчбек 5-дверный,Золотой,Левый,XTAG*************,,959 900
ВАЗ (LADA),Granta,2015,I (2011—2018),166100 км,12 записей в отчёте Автотеки,,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Лифтбек,Серебряный,Левый,XTA2*************,,485 000
ВАЗ (LADA),Priora,2015,I рестайлинг (2013—2018),243000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,Norma,Хетчбек 5-дверный,Белый,Левый,XTA2*************,Не интересует,530 000
ВАЗ (LADA),2114 Samara,2009,I (2001—2014),182000 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Синий,Левый,XTA2*************,Не интересует,135 000
ВАЗ (LADA),Granta,2015,I (2011—2018),81400 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Лифтбек,Серый,Левый,XTA2*************,Не интересует,610 000
ВАЗ (LADA),Granta,2019,I рестайлинг (2018—2023),42600 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XTA2*************,,750 000
ВАЗ (LADA),Granta,2017,I (2011—2018),146000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,Standard,Седан,Белый,Левый,XTA2*************,,399 000
ВАЗ (LADA),Granta,2013,I (2011—2018),185000 км,Проверить в Автотеке,Оригинал,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Синий,Левый,XTA2*************,Не интересует,440 000
ВАЗ (LADA),Vesta,2020,I (2015—2023),47079 км,Проверить в Автотеке,,1,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,Classic,Универсал,Коричневый,Левый,XTAG*************,,1 399 152
ВАЗ (LADA),Kalina,2010,I (2004—2013),119000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.4 MT (89 л.с.),1.4 л,Бензин,Механика,Передний,Lux,Седан,Серый,Левый,XTA1*************,Возможен,269 000
ВАЗ (LADA),2114 Samara,2011,I (2001—2014),129490 км,121 запись в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Белый,Левый,XTA2*************,,275 000
ВАЗ (LADA),4x4 (Нива),2010,I (1977—2019),83000 км,3 записи в отчёте Автотеки,,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серый,Левый,XTA2*************,Не интересует,277 000
ВАЗ (LADA),2113 Samara,2010,I (2004—2013),141000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 3-дверный,Серый,Левый,XTA2*************,Не интересует,145 000
ВАЗ (LADA),2112,2007,I (1999—2009),206000 км,8 записей в отчёте Автотеки,,3,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,XTA2*************,,137 220
ВАЗ (LADA),Granta,2016,I (2011—2018),164000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Белый,Левый,XTA2*************,Не интересует,470 000
ВАЗ (LADA),2114 Samara,2012,I (2001—2014),121000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (81 л.с.),1.6 л,Бензин,Механика,Передний,Люкс,Хетчбек 5-дверный,Синий,Левый,XTA2*************,Не интересует,225 000
ВАЗ (LADA),Granta,2019,I рестайлинг (2018—2023),67000 км,Проверить в Автотеке,,1,Не битый,1.6 MT (87 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Бежевый,Левый,XTA2*************,Не интересует,700 000
ВАЗ (LADA),2106,1996,I (1976—2006),140000 км,Проверить в Автотеке,,3,Не битый,1.5 MT (72 л.с.),1.5 л,Бензин,Механика,Задний,Базовая,Седан,Красный,Левый,XTA2*************,Не интересует,50 000
ВАЗ (LADA),Kalina Cross,2015,II (2014—2018),100000 км,4 записи в отчёте Автотеки,,2,Не битый,1.6 MT (106 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Белый,Левый,XTA2*************,,745 000
ВАЗ (LADA),Granta,2012,I (2011—2018),154020 км,5 записей в отчёте Автотеки,,3,Не битый,1.6 MT (82 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Синий,Левый,XTA2*************,,375 000
ВАЗ (LADA),Priora,2011,I (2007—2013),151500 км,7 записей в отчёте Автотеки,,2,Не битый,1.6 MT (98 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Серый,Левый,XTA2*************,,349 000
