Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
ГАЗ,ГАЗель 3302,2008,I рестайлинг (2003—2010),50000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,2.9 MT (110 л.с.),2.9 л,Бензин,Механика,Задний,Базовая,Фургон,Синий,Левый,X963*************,Не интересует,539 000
ГАЗ,ГАЗель 3302,2002,I (1994—2003),300000 км,Проверить в Автотеке,Оригинал,3,Не битый,2.4 MT (90 л.с.),2.4 л,Бензин,Механика,Задний,Базовая,Фургон,Белый,Левый,X1A2*************,Не интересует,230 000
ГАЗ,ГАЗель 3221,2004,I рестайлинг (2003—2010),200000 км,Проверить в Автотеке,Дубликат,1,Не битый,2.3 MT (98 л.с.),2.3 л,Бензин,Механика,Задний,Базовая,Микроавтобус,Жёлтый,Левый,X833*************,Не интересует,180 000
ГАЗ,ГАЗель 3302,2006,I рестайлинг (2003—2010),150000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,2.5 MT (140 л.с.),2.5 л,Бензин,Механика,Задний,Базовая,Фургон,Белый,Левый,XSU2*************,Не интересует,450 000
ГАЗ,31105 Волга,2007,I (2003—2009),180000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,2.3 MT (131 л.с.),2.3 л,Бензин,Механика,Задний,Базовая,Седан,Серебряный,Левый,X963*************,,110 000
ГАЗ,ГАЗель 3302,2018,II (2010—2023),272000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,2.7 MT (107 л.с.),2.7 л,Бензин,Механика,Задний,Базовая,Фургон,Белый,Левый,Z783*************,Возможен,1 190 000
ГАЗ,ГАЗель 3302,2012,II (2010—2023),295000 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,2.9 MT (107 л.с.),2.9 л,Бензин,Механика,Задний,Базовая,Фургон,Синий,Левый,X963*************,Не интересует,670 000
ГАЗ,ГАЗель 3221,2010,II (2010—2023),133000 км,Проверить в Автотеке,Оригинал,2,Не битый,2.9 MT (107 л.с.),2.9 л,Бензин,Механика,Задний,Базовая,Микроавтобус,Оранжевый,Левый,X963*************,Не интересует,327 000
ГАЗ,ГАЗель Next,2022,III (2013—2023),157072 км,Проверить в Автотеке,,1,Не битый,2.8 D MT (150 л.с.),2.8 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,X5J2*************,,2 800 999
ГАЗ,31105 Волга,2009,I (2003—2009),148739 км,3 записи в отчёте Автотеки,Оригинал,3,Не битый,2.4 MT (137 л.с.),2.4 л,Бензин,Механика,Задний,Базовая,Седан,Синий,Левый,X963*************,Возможен,170 000
ГАЗ,ГАЗель 33023,2004,I рестайлинг (2003—2010),774000 км,6 записей в отчёте Автотеки,Дубликат,2,Не битый,2.3 MT (98 л.с.),2.3 л,Бензин,Механика,Задний,Базовая,Фургон,Белый,Левый,X783*************,Возможен,700 000
ГАЗ,ГАЗель Next,2019,III (2013—2023),73941 км,2 записи в отчёте Автотеки,,3,Не битый,2.8 D MT (149 л.с.),2.8 л,Дизель,Механика,Задний,Базовая,Пикап,Белый,Левый,Z0D1*************,,2 450 000
