Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
УАЗ,Pickup,2015,I рестайлинг (2014—2016),267443 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,2.7 MT (128 л.с.),2.7 л,Бензин,Механика,Полный,Базовая,Пикап,Чёрный,Левый,XTT2*************,,450 590
УАЗ,Pickup,2015,I рестайлинг (2014—2016),340729 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,2.7 MT (128 л.с.),2.7 л,Бензин,Механика,Полный,Базовая,Пикап,Чёрный,Левый,XTT2*************,,450 590
УАЗ,39094,2010,I (1996—2023),89731 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,2.7 MT (112 л.с.),2.7 л,Бензин,Механика,Полный,Базовая,Пикап,Белый,Левый,XTT3*************,Не интересует,240 000
УАЗ,31512,1992,I (1985—2013),5000 км,Проверить в Автотеке,Оригинал,3,Не битый,2.4 MT (76 л.с.),2.4 л,Бензин,Механика,Полный,Базовая,Внедорожник 5-дверный,Зелёный,Левый,XTT3*************,,60 000
УАЗ,Pickup,2013,I (2008—2014),250000 км,9 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.7 MT (128 л.с.),2.7 л,Бензин,Механика,Полный,,Пикап,Белый,Левый,XTT2*************,Не интересует,450 000
УАЗ,Pickup,2016,I рестайлинг 2 (2016—2023),171000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,2.7 MT (135 л.с.),2.7 л,Бензин,Механика,Полный,,Пикап,Синий,Левый,XTT2*************,Не интересует,770 000
УАЗ,3303,1987,I (1966—2023),55977 км,,Оригинал,3,Не битый,2.4 MT (76 л.с.),2.4 л,Бензин,Механика,Полный,Базовая,Пикап,Зелёный,Левый,0881**,Не интересует,300 000
УАЗ,3303,2010,I (1966—2023),26000 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,2.7 MT (112 л.с.),2.7 л,Бензин,Механика,Полный,Базовая,Пикап,Серый,Левый,XTT3*************,Не интересует,757 000
УАЗ,Patriot,2017,I рестайлинг 3 (2016—2023),168000 км,16 записей в отчёте Автотеки,Оригинал,2,Не битый,2.7 MT (128 л.с.),2.7 л,Бензин,Механика,Полный,Limited,Внедорожник 5-дверный,Белый,Левый,XTT3*************,Возможен,1 199 999
УАЗ,Patriot,2012,I рестайлинг (2012—2014),65000 км,6 записей в отчёте Автотеки,,1,Не битый,2.7 MT (128 л.с.),2.7 л,Бензин,Механика,Полный,Welcome,Внедорожник 5-дверный,Чёрный,Левый,XTT3*************,,715 000
