Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
BMW,5 серия,2018,G30/G31 (2016—2020),41000 км,Проверить в Автотеке,Электронный,1,Не битый,520i 2.0 Steptronic (184 л.с.),2 л,Бензин,Автомат,Задний,,Седан,Белый,Левый,WBAJ*************,Возможен,3 700 000
BMW,X3,2013,F25 (2010—2014),270000 км,13 записей в отчёте Автотеки,Дубликат,3,Не битый,20i 2.0 xDrive AT (184 л.с.),2 л,Бензин,Автомат,Полный,Базовая,Внедорожник 5-дверный,Белый,Левый,X4XW*************,Не интересует,1 620 000
BMW,3 серия,1998,E46 (1998—2003),250530 км,18 записей в отчёте Автотеки,Дубликат,4+,Не битый,318i 1.9 AT (118 л.с.),1.9 л,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,WBAA*************,Не интересует,400 000
BMW,5 серия,2014,F10/F11 рестайлинг (2013—2017),210000 км,14 записей в отчёте Автотеки,Оригинал,2,Не битый,520d 2.0 AT (184 л.с.),2 л,Дизель,Автомат,Задний,SE Локальная сборка,Седан,Чёрный,Левый,X4X5*************,Не интересует,2 080 000
BMW,X1,2020,F48 рестайлинг (2019—2023),59000 км,Проверить в Автотеке,Электронный,1,Не битый,18d 2.0 xDrive Steptronic (150 л.с.),2 л,Дизель,Автомат,Полный,Advantage Plus,Внедорожник 5-дверный,Чёрный,Левый,WBA3*************,Не интересует,3 430 000
BMW,XM,2023,G09 (2022—2023),60 км,,Оригинал,1,Не битый,4.4 Plug-in Hybrid xDrive Steptronic (653 л.с.),4.4 л,Гибрид,Автомат,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WBS2*************,,25 900 000
BMW,5 серия,2012,F10/F11 (2009—2013),161000 км,8 записей в отчёте Автотеки,,3,Не битый,528Li 2.0 AT (245 л.с.),2 л,Бензин,Автомат,Задний,Базовая,Седан,Белый,Левый,WBAX*************,Возможен,1 435 000
BMW,X4,2020,G02 (2018—2021),59438 км,6 записей в отчёте Автотеки,,2,Не битый,30i 2.0 xDrive Steptronic (249 л.с.),2 л,Бензин,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Красный,Левый,WBA2*************,Возможен,5 429 000
BMW,X6,2020,G06 (2019—2023),44200 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,30d 3.0 Steptronic (265 л.с.),3 л,Дизель,Автомат,Полный,Base,Внедорожник 5-дверный,Чёрный,Левый,WBAG*************,Не интересует,8 490 000
BMW,3 серия,2019,G20 (2018—2023),120000 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,320d 2.0 xDrive AT (190 л.с.),2 л,Дизель,Автомат,Полный,,Седан,Серый,Левый,WBA5*************,,3 400 000
BMW,X6,2011,E71 (2007—2012),155000 км,20 записей в отчёте Автотеки,Оригинал,1,Не битый,30d 3.0 AT (245 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,X4XF*************,Не интересует,2 700 000
BMW,X5,2008,E70 (2006—2010),189000 км,7 записей в отчёте Автотеки,Оригинал,4+,Не битый,3.0d 3.0 AT (235 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Белый,Левый,WBAF*************,,1 850 000
BMW,5 серия,2008,E60/E61 рестайлинг (2007—2010),380000 км,24 записи в отчёте Автотеки,Оригинал,1,Не битый,525i 2.5 AT (218 л.с.),2.5 л,Бензин,Автомат,Задний,Базовая,Седан,Чёрный,Левый,X4XN*************,Не интересует,1 200 000
BMW,X6,2018,F16 (2014—2020),79416 км,16 записей в отчёте Автотеки,,2,Не битый,30d 3.0 Steptronic (249 л.с.),3 л,Дизель,Автомат,Полный,Luxury,Внедорожник 5-дверный,Чёрный,Левый,X4XK*************,Возможен,5 550 000
BMW,X3,2015,F25 рестайлинг (2014—2018),116000 км,49 записей в отчёте Автотеки,Оригинал,1,Не битый,20i 2.0 xDrive AT (184 л.с.),2 л,Бензин,Автомат,Полный,M Sport,Внедорожник 5-дверный,Серый,Левый,X4XW*************,Возможен,2 890 000
BMW,X5,2019,G05 (2018—2023),67000 км,14 записей в отчёте Автотеки,,1,Не битый,M50d 3.0 xDrive Steptronic (400 л.с.),3 л,Дизель,Автомат,Полный,M Special by Individual,Внедорожник 5-дверный,Серый,Левый,WBAC*************,Не интересует,8 950 000
BMW,3 серия,2017,F30/F31 рестайлинг (2015—2020),91000 км,10 записей в отчёте Автотеки,,2,Не битый,318i 1.5 Steptronic (136 л.с.),1.5 л,Бензин,Автомат,Задний,Base,Седан,Чёрный,Левый,WBA8*************,Не интересует,2 399 000
BMW,X1,2021,F48 рестайлинг (2019—2023),33001 км,11 записей в отчёте Автотеки,,2,Не битый,18i 1.5 sDrive AMT (140 л.с.),1.5 л,Бензин,Робот,Передний,SE,Внедорожник 5-дверный,Чёрный,Левый,WBA3*************,Возможен,3 460 000
BMW,X5,2020,G05 (2018—2023),36130 км,2 записи в отчёте Автотеки,,1,Не битый,30d 3.0 xDrive Steptronic (249 л.с.),3 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Фиолетовый,Левый,WBAC*************,,8 949 000
BMW,X1,2019,F48 рестайлинг (2019—2023),75000 км,4 записи в отчёте Автотеки,,1,Не битый,20i 2.0 xDrive Steptronic (192 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,WBA1*************,Не интересует,3 581 000
BMW,X6,2018,F16 (2014—2020),119100 км,3 записи в отчёте Автотеки,,1,Не битый,30d 3.0 Steptronic (258 л.с.),3 л,Дизель,Автомат,Полный,Базовая,Внедорожник 5-дверный,Чёрный,Левый,WBAK*************,Возможен,4 990 000
