Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
BMW,X5,2020,G05 (2018—2023),95475 км,22 записи в отчёте Автотеки,,2,Не битый,M50d 3.0 xDrive Steptronic (400 л.с.),3 л,Дизель,Автомат,Полный,M Special by Individual,Внедорожник 5-дверный,Чёрный,Левый,WBAC*************,Возможен,8 490 000
BMW,X6,2016,F16 (2014—2020),99000 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,40d 3.0 Steptronic (313 л.с.),3 л,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Белый,Левый,X4XK*************,,5 070 000
BMW,3 серия,2018,F30/F31 рестайлинг (2015—2020),53016 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,320d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,Sport Line,Седан,Белый,Левый,X4X8*************,,3 399 000
BMW,5 серия,2014,F10/F11 рестайлинг (2013—2017),60000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,520i 2.0 AT (184 л.с.),2 л,Бензин,Автомат,Задний,Business,Седан,Чёрный,Левый,X4X5*************,,3 000 000
BMW,X3,2018,G01 (2017—2021),103700 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,20d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,,Внедорожник 5-дверный,Серый,Левый,WBAT*************,Возможен,3 949 000
BMW,X5,2019,G05 (2018—2023),70000 км,2 записи в отчёте Автотеки,Оригинал,1,Не битый,30d 3.0 xDrive Steptronic (249 л.с.),3 л,Дизель,Автомат,Полный,M Sport,Внедорожник 5-дверный,Белый,Левый,WBAC*************,Не интересует,8 100 000
BMW,X1,2021,F48 рестайлинг (2019—2023),12925 км,2 записи в отчёте Автотеки,,1,Не битый,20i 2.0 xDrive Steptronic (192 л.с.),2 л,Бензин,Автомат,Полный,M Sport,Внедорожник 5-дверный,Синий,Левый,WBA1*************,Возможен,4 790 000
BMW,X7,2019,G07 (2018—2023),47083 км,2 записи в отчёте Автотеки,,1,Не битый,40i 3.0 xDrive Steptronic (340 л.с.),3 л,Бензин,Автомат,Полный,M Sport Pure,Внедорожник 5-дверный,Белый,Левый,5UXC*************,,8 500 000
BMW,5 серия,2019,G30/G31 (2016—2020),99948 км,14 записей в отчёте Автотеки,,2,Не битый,520d 2.0 xDrive Steptronic (190 л.с.),2 л,Дизель,Автомат,Полный,,Седан,Чёрный,Левый,X4XJ*************,,4 249 000
BMW,X3,2018,G01 (2017—2021),60761 км,12 записей в отчёте Автотеки,,2,Не битый,20i 2.0 xDrive Steptronic (184 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Белый,Левый,X4XK*************,Возможен,3 570 000
