Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Changan,CS35 Plus,2020,I (2018—2023),32000 км,Проверить в Автотеке,,1,Не битый,1.6 AT (117 л.с.),1.6 л,Бензин,Автомат,Передний,,Внедорожник 5-дверный,Коричневый,Левый,LS5A*************,,1 875 000
Changan,UNI-K,2023,I (2020—2023),20 км,Проверить в Автотеке,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Luxe,Внедорожник 5-дверный,Чёрный,Левый,LS4A*************,Не интересует,3 650 000
Changan,UNI-K,2023,I (2020—2023),1 км,,,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Tech,Внедорожник 5-дверный,Белый,Левый,LS4A*************,,3 845 000
Changan,CS35 Plus,2023,I рестайлинг (2021—2023),108 км,Проверить в Автотеке,,1,Не битый,1.4T DTC (150 л.с.),1.4 л,Бензин,Робот,Передний,Tech,Внедорожник 5-дверный,Белый,Левый,LS5A*************,,2 199 000
Changan,UNI-K,2023,I (2020—2023),50 км,,,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Luxe,Внедорожник 5-дверный,Белый,Левый,LS4A*************,Возможен,3 550 000
Changan,UNI-K,2023,I (2020—2023),290 км,,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Tech,Внедорожник 5-дверный,Голубой,Левый,LS4A*************,Возможен,3 890 000
Changan,UNI-K,2023,I (2020—2023),18 км,,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,LS4A*************,Не интересует,3 649 000
Changan,UNI-V,2023,I (2022—2023),358 км,,,1,Не битый,1.5T DCT (181 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Лифтбек,Серый,Левый,LS5A*************,,2 859 900
Changan,UNI-T,2023,I рестайлинг (2023—2023),64 км,,,1,Не битый,1.5T DCT (188 л.с.),1.5 л,Бензин,Робот,Передний,Exclusive,Внедорожник 5-дверный,Чёрный,Левый,LS5A*************,Возможен,3 250 000
Changan,UNI-V,2023,I (2022—2023),88 км,,,1,Не битый,1.5T DCT (181 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Лифтбек,Белый,Левый,LS5A*************,,2 389 000
Changan,CS55 Plus,2023,I рестайлинг (2021—2023),41 км,,,1,Не битый,1.5 AMT (181 л.с.),1.5 л,Бензин,Робот,Передний,Tech,Внедорожник 5-дверный,Красный,Левый,LS4A*************,,2 240 000
Changan,UNI-K,2023,I (2020—2023),50 км,,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Tech,Внедорожник 5-дверный,Белый,Левый,LS4A*************,Не интересует,3 578 000
Changan,UNI-T,2023,I рестайлинг (2023—2023),21 км,,,1,Не битый,1.5T DCT (188 л.с.),1.5 л,Бензин,Робот,Передний,Exclusive,Внедорожник 5-дверный,Чёрный,Левый,LS5A*************,,3 100 000
Changan,UNI-K,2022,I (2020—2023),30 км,Проверить в Автотеке,,1,Не битый,2.0 AT (226 л.с.),2 л,Бензин,Автомат,Передний,Comfort,Внедорожник 5-дверный,Серый,Левый,LS4A*************,,3 449 000
Changan,UNI-K,2023,I (2020—2023),20 км,,,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Premium,Внедорожник 5-дверный,Голубой,Левый,LS4A*************,Возможен,3 550 000
Changan,CS75 Plus,2023,I рестайлинг (2021—2023),8127 км,3 записи в отчёте Автотеки,,1,Не битый,1.5T AT (178 л.с.),1.5 л,Бензин,Автомат,Передний,Luxury,Внедорожник 5-дверный,Серый,Левый,LS4A*************,,3 299 000
Changan,UNI-K,2023,I (2020—2023),35 км,Проверить в Автотеке,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Tech,Внедорожник 5-дверный,Серый,Левый,LS4A*************,Возможен,3 800 000
Changan,UNI-V,2023,I (2022—2023),409 км,Проверить в Автотеке,,1,Не битый,1.5T DCT (181 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Лифтбек,Чёрный,Левый,LS5A*************,,3 720 000
Changan,UNI-K,2023,I (2020—2023),50 км,,Электронный,1,Не битый,2.0 4WD AT (226 л.с.),2 л,Бензин,Автомат,Полный,Luxe,Внедорожник 5-дверный,Синий,Левый,LS4A*************,Возможен,3 450 000
Changan,UNI-T,2023,I (2020—2023),12 км,,Электронный,1,Не битый,1.5T DCT (167 л.с.),1.5 л,Бензин,Робот,Передний,Luxe,Внедорожник 5-дверный,Чёрный,Левый,LS5A*************,,3 100 000
Changan,UNI-T,2023,I рестайлинг (2023—2023),9 км,,Электронный,1,Не битый,1.5T DCT (188 л.с.),1.5 л,Бензин,Робот,Передний,Exclusive,Внедорожник 5-дверный,Серый,Левый,LS5A*************,Возможен,3 300 000
Changan,UNI-V,2023,I (2022—2023),9094 км,6 записей в отчёте Автотеки,,1,Не битый,1.5T DCT (181 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Лифтбек,Чёрный,Левый,LS5A*************,,3 070 000
Changan,UNI-T,2023,I (2020—2023),15 км,Проверить в Автотеке,Электронный,1,Не битый,1.5T DCT (188 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Внедорожник 5-дверный,Серый,Левый,LS5A*************,,2 900 000
Changan,UNI-V,2023,I (2022—2023),1 км,,,1,Не битый,1.5T DCT (181 л.с.),1.5 л,Бензин,Робот,Передний,Базовая,Лифтбек,Чёрный,Левый,LS5A*************,,2 849 000
Changan,UNI-T,2023,I рестайлинг (2023—2023),56 км,,Электронный,1,Не битый,1.5T DCT (188 л.с.),1.5 л,Бензин,Робот,Передний,Exclusive,Внедорожник 5-дверный,Серый,Левый,LS5A*************,Возможен,3 390 000
Changan,Alsvin,2023,I (2018—2023),111 км,,Электронный,1,Не битый,1.5T DCT (107 л.с.),1.5 л,Бензин,Робот,Передний,DLX,Седан,Белый,Левый,LS5A*************,,1 649 900
