Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Chery,Tiggo 7 Pro Max,2023,I (2022—2023),1 км,,Электронный,1,Не битый,1.6 4WD AMT (150 л.с.),1.6 л,Бензин,Робот,Полный,Elite,Внедорожник 5-дверный,Белый,Левый,LVVD*************,,3 064 900
Chery,Tiggo 7 Pro,2023,II (2019—2023),100 км,2 записи в отчёте Автотеки,,1,Не битый,1.5 CVT (147 л.с.),1.5 л,Бензин,Вариатор,Передний,Elite,Внедорожник 5-дверный,Чёрный,Левый,LVVD*************,,1 650 000
Chery,Tiggo 8 Pro Max,2022,I (2022—2023),159 км,2 записи в отчёте Автотеки,Электронный,1,Не битый,2.0 4WD AMT (245 л.с.),2 л,Бензин,Робот,Полный,Ultimate,Внедорожник 5-дверный,Серый,Левый,LVTD*************,Возможен,3 730 000
Chery,Tiggo 4,2021,I рестайлинг (2018—2023),25207 км,3 записи в отчёте Автотеки,,1,Не битый,1.5 MT (113 л.с.),1.5 л,Бензин,Механика,Передний,Comfort,Внедорожник 5-дверный,Синий,Левый,LVVD*************,,1 900 000
Chery,Tiggo 5,2014,T21 (2014—2016),141847 км,13 записей в отчёте Автотеки,,2,Не битый,2.0 MT (139 л.с.),2 л,Бензин,Механика,Передний,Comfort,Внедорожник 5-дверный,Серый,Левый,X9WD*************,,1 080 000
Chery,Arrizo 8,2023,I (2022—2023),351 км,,,1,Не битый,1.6 TGDI DCT (186 л.с.),1.6 л,Бензин,Робот,Передний,Prestige,Седан,Зелёный,Левый,LVVD*************,,2 700 000
Chery,Tiggo 8 Pro Max,2023,I (2022—2023),29086 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 4WD AMT (197 л.с.),2 л,Бензин,Робот,Полный,Ultimate,Внедорожник 5-дверный,Серый,Левый,LVTD*************,,3 100 000
Chery,Tiggo 4 Pro,2023,I (2020—2023),94 км,Проверить в Автотеке,,1,Не битый,1.5 CVT (113 л.с.),1.5 л,Бензин,Вариатор,Передний,Action,Внедорожник 5-дверный,Серый,Левый,LVVD*************,Возможен,1 460 000
Chery,Tiggo (T11),2006,T11 (2005—2013),148000 км,4 записи в отчёте Автотеки,Дубликат,4+,Не битый,2.4 4WD MT (129 л.с.),2.4 л,Бензин,Механика,Полный,Base,Внедорожник 5-дверный,Серебряный,Левый,X4XD*************,Не интересует,229 000
Chery,Tiggo (T11),2015,T11 рестайлинг (2013—2016),192000 км,8 записей в отчёте Автотеки,,2,Не битый,1.8 MT (132 л.с.),1.8 л,Бензин,Механика,Передний,Comfort,Внедорожник 5-дверный,Чёрный,Левый,XDLD*************,,617 556
