Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Chevrolet,Niva,2015,I рестайлинг (2009—2023),64500 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,LEM,Внедорожник 5-дверный,Чёрный,Левый,X9L2*************,Возможен,750 000
Chevrolet,Niva,2006,I (2002—2009),178509 км,11 записей в отчёте Автотеки,Оригинал,3,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серый,Левый,X9L2*************,Не интересует,259 000
Chevrolet,Niva,2004,I (2002—2009),217000 км,2 записи в отчёте Автотеки,Оригинал,3,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,L,Внедорожник 5-дверный,Бежевый,Левый,X9L2*************,Не интересует,320 000
Chevrolet,Niva,2017,I рестайлинг (2009—2023),125000 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,Bertone Edition,Внедорожник 5-дверный,Чёрный,Левый,X9L2*************,Не интересует,740 000
Chevrolet,Lanos,2008,I (2002—2009),149896 км,8 записей в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (86 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Серый,Левый,Y6DT*************,Возможен,192 150
Chevrolet,Cruze,2012,I (2009—2012),150250 км,17 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.8 AT (141 л.с.),1.8 л,Бензин,Автомат,Передний,LS,Хетчбек 5-дверный,Чёрный,Левый,XUFJ*************,Не интересует,899 000
Chevrolet,Lacetti,2012,I (2004—2013),200000 км,11 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AT (109 л.с.),1.6 л,Бензин,Автомат,Передний,,Седан,Серебряный,Левый,XUUN*************,Не интересует,650 000
Chevrolet,Aveo,2013,II (2011—2020),154000 км,10 записей в отчёте Автотеки,,2,Не битый,1.6 AT (115 л.с.),1.6 л,Бензин,Автомат,Передний,LTZ,Седан,Синий,Левый,XUUT*************,Возможен,690 000
Chevrolet,Lacetti,2011,I (2004—2013),107122 км,14 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 AT (109 л.с.),1.6 л,Бензин,Автомат,Передний,Platinum,Седан,Белый,Левый,XUUN*************,,678 000
Chevrolet,Lacetti,2012,I (2004—2013),227000 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,,Универсал,Чёрный,Левый,XUUN*************,,690 000
Chevrolet,Aveo,2008,I рестайлинг (2006—2012),206000 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,1.2 MT (84 л.с.),1.2 л,Бензин,Механика,Передний,,Седан,Синий,Левый,KL1S*************,Не интересует,440 000
Chevrolet,Aveo,2007,I рестайлинг (2006—2012),178000 км,7 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,Базовая,Седан,Голубой,Левый,XUUS*************,Возможен,420 000
Chevrolet,Aveo,2008,I рестайлинг (2006—2012),215000 км,11 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.4 MT (101 л.с.),1.4 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,KL1S*************,Не интересует,421 000
Chevrolet,Cobalt,2022,II рестайлинг (2016—2023),737 км,,,1,Не битый,1.5 AT (106 л.с.),1.5 л,Бензин,Автомат,Передний,Базовая,Седан,Синий,Левый,MX1J*************,Возможен,1 269 000
Chevrolet,Lacetti,2012,I (2004—2013),125000 км,5 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,Premium,Универсал,Белый,Левый,XUUN*************,Возможен,497 000
Chevrolet,Cruze,2012,I (2009—2012),76584 км,7 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,LT,Хетчбек 5-дверный,Серебряный,Левый,XUFJ*************,Не интересует,849 000
Chevrolet,Aveo,2011,I рестайлинг (2006—2012),168000 км,6 записей в отчёте Автотеки,Оригинал,1,Не битый,1.2 MT (84 л.с.),1.2 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,XUUS*************,Не интересует,460 000
Chevrolet,Niva,2012,I рестайлинг (2009—2023),158000 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,Bertone Edition,Внедорожник 5-дверный,Коричневый,Левый,X9L2*************,Не интересует,529 000
Chevrolet,Niva,2016,I рестайлинг (2009—2023),113823 км,10 записей в отчёте Автотеки,,3,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Серый,Левый,X9L2*************,,670 000
