Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Chevrolet,Lacetti,2008,I (2004—2013),134000 км,8 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,SX,Хетчбек 5-дверный,Серебряный,Левый,XUUN*************,,474 000
Chevrolet,Lanos,2006,I (2002—2009),140000 км,5 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (86 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Серебряный,Левый,Y6DT*************,Не интересует,180 000
Chevrolet,Lanos,2008,I (2002—2009),200624 км,6 записей в отчёте Автотеки,,2,Не битый,1.5 MT (86 л.с.),1.5 л,Бензин,Механика,Передний,S,Седан,Серебряный,Левый,Y6DT*************,Возможен,198 000
Chevrolet,Niva,2011,I рестайлинг (2009—2023),142888 км,4 записи в отчёте Автотеки,,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,,530 062
Chevrolet,Niva,2004,I (2002—2009),144263 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,Не интересует,225 000
Chevrolet,Niva,2020,I рестайлинг (2009—2023),32934 км,Проверить в Автотеке,,1,Не битый,1.7 MT (80 л.с.),1.7 л,Бензин,Механика,Полный,GL,Внедорожник 5-дверный,Чёрный,Левый,X9L2*************,,1 023 000
Chevrolet,Lanos,2008,I (2002—2009),147000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (86 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,Y6DT*************,Возможен,280 000
Chevrolet,Orlando,2012,I (2010—2018),147131 км,16 записей в отчёте Автотеки,,4+,Не битый,1.8 AT (141 л.с.),1.8 л,Бензин,Автомат,Передний,LTZ,Минивэн,Серебряный,Левый,KL1Y*************,,1 099 000
Chevrolet,Niva,2004,I (2002—2009),130000 км,4 записи в отчёте Автотеки,Оригинал,3,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серый,Левый,X9L2*************,,400 000
Chevrolet,Niva,2007,I (2002—2009),149632 км,10 записей в отчёте Автотеки,Дубликат,3,Не битый,1.7 MT (80 л.с.) 4WD,1.7 л,Бензин,Механика,Полный,,Внедорожник 5-дверный,Серебряный,Левый,X9L2*************,Не интересует,325 000
Chevrolet,Lacetti,2008,I (2004—2013),135000 км,5 записей в отчёте Автотеки,,2,Не битый,1.4 MT (94 л.с.),1.4 л,Бензин,Механика,Передний,Elite,Хетчбек 5-дверный,Чёрный,Левый,XUUN*************,,595 962
