Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Daewoo,Nexia,2011,I рестайлинг (2008—2016),236400 км,Проверить в Автотеке,Оригинал,3,Не битый,1.5 MT (80 л.с.),1.5 л,Бензин,Механика,Передний,Люкс,Седан,Чёрный,Левый,XWB3*************,Не интересует,239 000
Daewoo,Nexia,2006,I (1995—2008),111666 км,7 записей в отчёте Автотеки,Дубликат,1,Не битый,1.5 MT (85 л.с.),1.5 л,Бензин,Механика,Передний,GLE,Седан,Бежевый,Левый,XWB3*************,Не интересует,265 000
Daewoo,Nexia,2005,I (1995—2008),240000 км,Проверить в Автотеке,,2,Не битый,1.5 MT (75 л.с.),1.5 л,Бензин,Механика,Передний,GL,Седан,Серебряный,Левый,XWB3*************,Не интересует,90 000
Daewoo,Nexia,2012,I рестайлинг (2008—2016),158000 км,13 записей в отчёте Автотеки,Дубликат,2,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,Lux,Седан,Бордовый,Левый,XWB3*************,,368 000
Daewoo,Gentra,2014,II (2013—2015),143000 км,9 записей в отчёте Автотеки,Оригинал,2,Не битый,1.5 AT (107 л.с.),1.5 л,Бензин,Автомат,Передний,Elegant,Седан,Бежевый,Левый,XWB5*************,Не интересует,794 000
Daewoo,Matiz,2007,I рестайлинг (2000—2015),140000 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,0.8 AT (52 л.с.),0.8 л,Бензин,Автомат,Передний,Базовая,Хетчбек 5-дверный,Серебряный,Левый,XWB4*************,Возможен,199 999
Daewoo,Nexia,2012,I рестайлинг (2008—2016),110000 км,2 записи в отчёте Автотеки,,3,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XWB3*************,,250 000
Daewoo,Nexia,2008,I (1995—2008),150000 км,Проверить в Автотеке,,4+,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Седан,Бордовый,Левый,XWB3*************,Не интересует,105 000
Daewoo,Matiz,2013,I рестайлинг (2000—2015),132000 км,9 записей в отчёте Автотеки,Оригинал,3,Не битый,0.8 MT (50 л.с.),0.8 л,Бензин,Механика,Передний,MX,Хетчбек 5-дверный,Чёрный,Левый,XWB4*************,Возможен,260 000
Daewoo,Gentra,2013,II (2013—2015),109000 км,8 записей в отчёте Автотеки,,2,Не битый,1.5 MT (107 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Серый,Левый,XWB5*************,Возможен,560 000
Daewoo,Nexia,2011,I рестайлинг (2008—2016),170000 км,8 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,,Седан,Синий,Левый,XWB3*************,Не интересует,280 000
Daewoo,Nexia,2010,I рестайлинг (2008—2016),178943 км,8 записей в отчёте Автотеки,,4+,Не битый,1.5 MT (80 л.с.),1.5 л,Бензин,Механика,Передний,Lux,Седан,Красный,Левый,XWB3*************,,267 000
Daewoo,Nexia,2012,I рестайлинг (2008—2016),100060 км,16 записей в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (80 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Голубой,Левый,XWB3*************,Не интересует,225 000
Daewoo,Nexia,2012,I рестайлинг (2008—2016),124500 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (109 л.с.),1.6 л,Бензин,Механика,Передний,Lux,Седан,Синий,Левый,XWB3*************,Не интересует,285 000
Daewoo,Nexia,2012,I рестайлинг (2008—2016),131000 км,5 записей в отчёте Автотеки,,3,Не битый,1.5 MT (80 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Чёрный,Левый,XWB3*************,,249 000
Daewoo,Nexia,1997,I (1995—2008),250000 км,Проверить в Автотеке,Оригинал,4+,Не битый,1.5 MT (75 л.с.),1.5 л,Бензин,Механика,Передний,GLE,Седан,Зелёный,Левый,ULV3*************,Не интересует,69 000
Daewoo,Matiz,2013,I рестайлинг (2000—2015),58000 км,6 записей в отчёте Автотеки,Оригинал,2,Не битый,0.8 MT (50 л.с.),0.8 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Голубой,Левый,XWB4*************,Не интересует,355 000
Daewoo,Nexia,2007,I (1995—2008),192000 км,Проверить в Автотеке,Оригинал,4+,Не битый,1.5 MT (75 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Красный,Левый,XWB3*************,Не интересует,110 000
Daewoo,Matiz,2011,I рестайлинг (2000—2015),112104 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,0.8 MT (52 л.с.),0.8 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Чёрный,Левый,XWB4*************,Не интересует,247 000
Daewoo,Matiz,2013,I рестайлинг (2000—2015),96552 км,5 записей в отчёте Автотеки,,1,Не битый,0.8 MT (52 л.с.),0.8 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Бежевый,Левый,XWB4*************,,177 000
Daewoo,Gentra,2014,II (2013—2015),187000 км,2 записи в отчёте Автотеки,,1,Не битый,1.5 AT (107 л.с.),1.5 л,Бензин,Автомат,Передний,Optimum,Седан,Серый,Левый,XWB5*************,,750 000
Daewoo,Nexia,2008,I (1995—2008),173335 км,Проверить в Автотеке,Оригинал,3,Не битый,1.5 MT (80 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Голубой,Левый,XWB3*************,,219 000
Daewoo,Matiz,2013,I рестайлинг (2000—2015),66000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,0.8 MT (52 л.с.),0.8 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Белый,Левый,XWB4*************,Не интересует,220 000
Daewoo,Nexia,2007,I (1995—2008),178000 км,8 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (85 л.с.),1.5 л,Бензин,Механика,Передний,GL,Седан,Голубой,Левый,XWB3*************,Возможен,99 000
Daewoo,Matiz,2013,I рестайлинг (2000—2015),78000 км,3 записи в отчёте Автотеки,Оригинал,2,Не битый,0.8 MT (50 л.с.),0.8 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Серебряный,Левый,XWB4*************,Не интересует,228 000
Daewoo,Matiz,2010,I рестайлинг (2000—2015),74000 км,9 записей в отчёте Автотеки,Дубликат,4+,Не битый,0.8 MT (52 л.с.),0.8 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Золотой,Левый,XWB4*************,Не интересует,215 000
Daewoo,Nexia,2004,I (1995—2008),160000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.5 MT (75 л.с.),1.5 л,Бензин,Механика,Передний,GL,Седан,Красный,Левый,XWB3*************,,139 000
Daewoo,Matiz,2012,I рестайлинг (2000—2015),86000 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,0.8 MT (50 л.с.),0.8 л,Бензин,Механика,Передний,Базовая,Хетчбек 5-дверный,Серый,Левый,XWB4*************,,239 000
Daewoo,Nexia,2007,I (1995—2008),333924 км,2 записи в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (85 л.с.),1.5 л,Бензин,Механика,Передний,GLE,Седан,Серебряный,Левый,XWB3*************,Не интересует,100 000
Daewoo,Matiz,2005,I рестайлинг (2000—2015),112194 км,15 записей в отчёте Автотеки,,4+,Не битый,0.8 AT (52 л.с.),0.8 л,Бензин,Автомат,Передний,Базовая,Хетчбек 5-дверный,Золотой,Левый,XWB4*************,Возможен,349 000
Daewoo,Nexia,2010,I рестайлинг (2008—2016),113000 км,2 записи в отчёте Автотеки,Оригинал,2,Не битый,1.5 MT (80 л.с.),1.5 л,Бензин,Механика,Передний,,Седан,Красный,Левый,XWB3*************,Не интересует,230 000
Daewoo,Gentra,2014,II (2013—2015),135000 км,5 записей в отчёте Автотеки,,2,Не битый,1.5 MT (107 л.с.),1.5 л,Бензин,Механика,Передний,Elegant,Седан,Белый,Левый,XWB5*************,,615 000
Daewoo,Matiz,2012,I рестайлинг (2000—2015),64042 км,4 записи в отчёте Автотеки,Оригинал,2,Не битый,0.8 MT (50 л.с.),0.8 л,Бензин,Механика,Передний,MX,Хетчбек 5-дверный,Голубой,Левый,XWB4*************,Возможен,299 000
