Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Ford,Focus,2011,III (2011—2015),193000 км,17 записей в отчёте Автотеки,,4+,Не битый,1.6 AMT (125 л.с.),1.6 л,Бензин,Робот,Передний,Titanium,Хетчбек 5-дверный,Серый,Левый,X9FK*************,,869 900
Ford,Focus,2010,II рестайлинг (2007—2011),189000 км,6 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.6 MT (115 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,X9FP*************,Не интересует,699 000
Ford,Focus,2011,III (2011—2015),102800 км,10 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Trend,Хетчбек 5-дверный,Чёрный,Левый,X9FK*************,Не интересует,950 000
Ford,Focus,2011,III (2011—2015),172000 км,10 записей в отчёте Автотеки,,3,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Trend,Седан,Серый,Левый,X9FM*************,,895 000
Ford,Focus,2019,III рестайлинг (2014—2019),80693 км,5 записей в отчёте Автотеки,,2,Не битый,1.6 PowerShift (105 л.с.),1.6 л,Бензин,Робот,Передний,SYNC Edition,Седан,Белый,Левый,Z6F4*************,,1 390 200
Ford,Focus,2012,III (2011—2015),149298 км,15 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.0 AMT (150 л.с.),2 л,Бензин,Робот,Передний,Titanium,Хетчбек 5-дверный,Белый,Левый,X9FK*************,Не интересует,1 050 000
Ford,Fiesta,2007,Mk5 (2002—2008),205000 км,10 записей в отчёте Автотеки,Дубликат,4+,Не битый,1.6 MT (100 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 3-дверный,Красный,Левый,WF0D*************,Не интересует,425 000
Ford,Focus,2013,III (2011—2015),180000 км,11 записей в отчёте Автотеки,,2,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Базовая,Универсал,Белый,Левый,X9FL*************,Не интересует,950 000
Ford,Focus,2011,II рестайлинг (2007—2011),246679 км,5 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (100 л.с.),1.6 л,Бензин,Механика,Передний,,Хетчбек 5-дверный,Чёрный,Левый,X9FP*************,,680 000
Ford,Transit,2013,VII (2006—2013),181324 км,9 записей в отчёте Автотеки,Дубликат,2,Не битый,2.2 TDCi MT (130 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Микроавтобус,Серебряный,Левый,Z6FS*************,Возможен,1 479 000
Ford,Transit,2013,VII (2006—2013),125000 км,24 записи в отчёте Автотеки,Оригинал,4+,Не битый,2.2 TDCi MT (155 л.с.),2.2 л,Дизель,Механика,Задний,Базовая,Фургон,Белый,Левый,XUS3*************,Возможен,1 350 000
Ford,Focus,2014,III (2011—2015),135000 км,13 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AMT (105 л.с.),1.6 л,Бензин,Робот,Передний,,Седан,Серебряный,Левый,X9FM*************,Не интересует,1 050 000
Ford,Transit,2013,VII (2006—2013),450000 км,10 записей в отчёте Автотеки,Оригинал,4+,Не битый,2.2 TDCi MT (155 л.с.),2.2 л,Дизель,Механика,Задний,Базовая,Микроавтобус,Чёрный,Левый,XUS2*************,Не интересует,580 000
Ford,Focus,2013,III (2011—2015),183000 км,27 записей в отчёте Автотеки,Оригинал,1,Не битый,1.6 MT (125 л.с.),1.6 л,Бензин,Механика,Передний,SYNC Edition,Универсал,Чёрный,Левый,X9FL*************,Возможен,997 000
Ford,Focus,2015,III (2011—2015),144953 км,11 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,SYNC Edition,Универсал,Серебряный,Левый,Z6FL*************,Не интересует,799 000
Ford,Fiesta,2018,Mk6 рестайлинг (2012—2019),40903 км,4 записи в отчёте Автотеки,,1,Не битый,1.6 PowerShift (120 л.с.),1.6 л,Бензин,Робот,Передний,Titanium,Седан,Серебряный,Левый,MAJF*************,,1 220 000
Ford,Fusion,2007,I рестайлинг (2005—2012),182252 км,6 записей в отчёте Автотеки,Оригинал,3,Не битый,1.6 AT (101 л.с.),1.6 л,Бензин,Автомат,Передний,Elegance,Хетчбек 5-дверный,Фиолетовый,Левый,WF0U*************,Не интересует,669 000
Ford,Focus,2014,III (2011—2015),151782 км,14 записей в отчёте Автотеки,,4+,Не битый,1.6 AMT (125 л.с.),1.6 л,Бензин,Робот,Передний,SYNC Edition,Седан,Чёрный,Левый,X9FM*************,,1 101 217
Ford,Focus,2007,II рестайлинг (2007—2011),225836 км,9 записей в отчёте Автотеки,,4+,Не битый,1.8 MT (125 л.с.),1.8 л,Бензин,Механика,Передний,Comfort,Седан,Синий,Левый,X9F4*************,,494 900
Ford,Focus,2012,III (2011—2015),202150 км,5 записей в отчёте Автотеки,Оригинал,2,Не битый,1.6 AMT (125 л.с.),1.6 л,Бензин,Робот,Передний,Titanium,Универсал,Белый,Левый,X9FL*************,Не интересует,820 000
Ford,Focus,2013,III (2011—2015),218233 км,15 записей в отчёте Автотеки,,2,Не битый,1.6 MT (105 л.с.),1.6 л,Бензин,Механика,Передний,Trend,Хетчбек 5-дверный,Белый,Левый,X9FK*************,,818 000
