Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Ford,Transit,2018,VIII (2013—2023),56964 км,11 записей в отчёте Автотеки,,1,Не битый,2.2 TDCi FWD MT (125 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Синий,Левый,Z6FX*************,,2 990 000
Ford,Explorer,2014,V (2010—2015),180572 км,33 записи в отчёте Автотеки,,2,Не битый,3.5 4WD AT (294 л.с.),3.5 л,Бензин,Автомат,Полный,,Внедорожник 5-дверный,Белый,Левый,Z6FB*************,Возможен,2 099 000
Ford,Kuga,2012,I (2008—2012),136000 км,12 записей в отчёте Автотеки,Дубликат,4+,Не битый,2.0 TDCi MT (140 л.с.),2 л,Дизель,Механика,Передний,Trend,Внедорожник 5-дверный,Чёрный,Левый,WF0R*************,Возможен,1 200 000
Ford,Focus,2013,III (2011—2015),161466 км,7 записей в отчёте Автотеки,,4+,Не битый,1.6 AMT (125 л.с.),1.6 л,Бензин,Робот,Передний,,Хетчбек 5-дверный,Чёрный,Левый,X9FK*************,Возможен,811 000
Ford,Explorer,2015,V рестайлинг (2015—2018),139000 км,17 записей в отчёте Автотеки,,2,Не битый,3.5 4WD AT (345 л.с.),3.5 л,Бензин,Автомат,Полный,Sport,Внедорожник 5-дверный,Белый,Левый,Z6FB*************,,2 199 000
Ford,Transit,2017,VIII (2013—2023),181967 км,37 записей в отчёте Автотеки,,1,Не битый,2.2 TDCi FWD MT (125 л.с.),2.2 л,Дизель,Механика,Передний,Базовая,Фургон,Синий,Левый,Z6FX*************,,2 490 000
Ford,Kuga,2013,II (2012—2016),157103 км,11 записей в отчёте Автотеки,,4+,Не битый,1.6 MT (150 л.с.),1.6 л,Бензин,Механика,Передний,Trend Plus,Внедорожник 5-дверный,Белый,Левый,Z6FA*************,Возможен,1 261 000
Ford,Mondeo,2011,IV рестайлинг (2010—2014),182351 км,20 записей в отчёте Автотеки,,3,Не битый,2.0 PowerShift (200 л.с.),2 л,Бензин,Робот,Передний,Titanium,Седан,Серый,Левый,X9FD*************,Возможен,879 000
Ford,Fusion,2008,I рестайлинг (2005—2012),233769 км,22 записи в отчёте Автотеки,,3,Не битый,1.6 MT (101 л.с.),1.6 л,Бензин,Механика,Передний,Trend,Хетчбек 5-дверный,Фиолетовый,Левый,WF0U*************,Возможен,509 000
Ford,Transit,2018,VIII (2013—2023),122450 км,2 записи в отчёте Автотеки,,1,Не битый,2.2 TDCi RWD MT (125 л.с.),2.2 л,Дизель,Механика,Задний,Базовая,Пикап,Белый,Левый,XD23*************,,2 100 999
