Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Geely,Emgrand EC7,2013,I (2009—2016),147000 км,12 записей в отчёте Автотеки,Оригинал,4+,Не битый,1.5 MT (98 л.с.),1.5 л,Бензин,Механика,Передний,Comfort,Седан,Белый,Левый,X9W2*************,Не интересует,470 000
Geely,Monjaro,2023,I (2021—2023),27 км,,,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Синий,Левый,LB37*************,Возможен,3 990 000
Geely,Coolray,2020,I (2019—2023),20000 км,4 записи в отчёте Автотеки,,1,Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Comfort,Внедорожник 5-дверный,Белый,Левый,Y4K8*************,,2 115 000
Geely,Emgrand EC7,2013,I (2009—2016),121258 км,7 записей в отчёте Автотеки,Оригинал,3,Не битый,1.5 MT (98 л.с.),1.5 л,Бензин,Механика,Передний,Standard,Седан,Бордовый,Левый,X9W2*************,,399 000
Geely,Monjaro,2023,I (2021—2023),15 км,,Электронный,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Base,Внедорожник 5-дверный,Зелёный,Левый,LB37*************,,3 990 000
Geely,Monjaro,2023,I (2021—2023),1 км,,,1,Не битый,2.0 4WD AT (238 л.с.),2 л,Бензин,Автомат,Полный,Exclusive,Внедорожник 5-дверный,Серый,Левый,LB37*************,,3 769 000
Geely,CK (Otaka),2012,I рестайлинг (2008—2016),152638 км,11 записей в отчёте Автотеки,Дубликат,3,Не битый,1.5 MT (94 л.с.),1.5 л,Бензин,Механика,Передний,Базовая,Седан,Чёрный,Левый,L6T7*************,,250 200
Geely,Monjaro,2021,I (2021—2023),15619 км,,,1,Не битый,2.0 AMT (217 л.с.),2 л,Бензин,Робот,Передний,Base,Внедорожник 5-дверный,Серый,Левый,LB37*************,,3 450 000
Geely,Emgrand X7,2019,I рестайлинг 2 (2018—2023),57034 км,3 записи в отчёте Автотеки,,1,Не битый,2.0 AT (139 л.с.),2 л,Бензин,Автомат,Передний,,Внедорожник 5-дверный,Серый,Левый,Y4K8*************,Возможен,1 859 000
Geely,Emgrand EC7,2013,I (2009—2016),139410 км,5 записей в отчёте Автотеки,,1,Не битый,1.8 MT (126 л.с.),1.8 л,Бензин,Механика,Передний,Comfort,Седан,Серебряный,Левый,X9W8*************,,619 000
Geely,Coolray,2023,I (2019—2023),17 км,Проверить в Автотеке,Электронный,1,Не битый,1.5 AMT (150 л.с.),1.5 л,Бензин,Робот,Передний,Flagship Sport,Внедорожник 5-дверный,Белый,Левый,LB37*************,,2 500 000
