Marka,Model,Год выпуска,Поколение,Пробег,История пробега,ПТС,Владельцев по ПТС,Состояние,Модификация,Объём двигателя,Тип двигателя,Коробка передач,Привод,Комплектация,Тип кузова,Цвет,Руль,VIN или номер кузова,Обмен
Haval,F7,2020,I (2018—2023),27500 км,3 записи в отчёте Автотеки,Оригинал,1,Не битый,2.0 AMT (190 л.с.),2 л,Бензин,Робот,Передний,Comfort,Внедорожник 5-дверный,Серый,Левый,XZGE*************,Не интересует,2 400 000
Haval,F7x,2023,I рестайлинг (2022—2023),6000 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Premium,Внедорожник 5-дверный,Белый,Левый,XZGF*************,Возможен,3 455 000
Haval,F7x,2023,I рестайлинг (2022—2023),4 км,,Оригинал,1,Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Tech Plus,Внедорожник 5-дверный,Серый,Левый,XZGF*************,Не интересует,3 300 000
Haval,Jolion,2021,I (2021—2023),3350 км,5 записей в отчёте Автотеки,Электронный,1,Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,Elite,Внедорожник 5-дверный,Синий,Левый,XZGF*************,,2 300 000
Haval,H9,2021,I рестайлинг (2017—2023),29499 км,2 записи в отчёте Автотеки,,2,Не битый,2.0 4WD AT (218 л.с.),2 л,Бензин,Автомат,Полный,Comfort,Внедорожник 5-дверный,Серый,Левый,XZGF*************,Возможен,3 267 179
Haval,F7,2019,I (2018—2023),75918 км,Проверить в Автотеке,Оригинал,1,Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Elite,Внедорожник 5-дверный,Серый,Левый,XZGF*************,,2 170 000
Haval,Dargo,2022,I (2022—2023),320 км,2 записи в отчёте Автотеки,,1,Не битый,2.0 4WD AMT (192 л.с.),2 л,Бензин,Робот,Полный,Premium,Внедорожник 5-дверный,Чёрный,Левый,LGWF*************,Возможен,3 270 000
Haval,Jolion,2022,I (2021—2023),44521 км,6 записей в отчёте Автотеки,,1,Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,,Внедорожник 5-дверный,Красный,Левый,XZGF*************,Возможен,2 249 000
Haval,F7,2019,I (2018—2023),41305 км,Проверить в Автотеке,,1,Не битый,2.0 4WD AMT (190 л.с.),2 л,Бензин,Робот,Полный,Elite,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,,2 349 000
Haval,Jolion,2021,I (2021—2023),36489 км,5 записей в отчёте Автотеки,,1,Не битый,1.5 AMT (143 л.с.),1.5 л,Бензин,Робот,Передний,,Внедорожник 5-дверный,Чёрный,Левый,XZGE*************,Возможен,1 749 000
Haval,H6,2019,I (2014—2022),99000 км,4 записи в отчёте Автотеки,,1,Не битый,1.5 4WD MT (143 л.с.),1.5 л,Бензин,Механика,Полный,City,Внедорожник 5-дверный,Серый,Левый,LGWF*************,,1 900 000
Haval,H9,2020,I рестайлинг (2017—2023),55054 км,19 записей в отчёте Автотеки,,2,Не битый,2.0 D 4WD AT (190 л.с.),2 л,Дизель,Автомат,Полный,Elite,Внедорожник 5-дверный,Серый,Левый,XZGF*************,,2 980 000
Haval,F7,2019,I (2018—2023),123000 км,5 записей в отчёте Автотеки,,1,Не битый,1.5 4WD AMT (150 л.с.),1.5 л,Бензин,Робот,Полный,,Внедорожник 5-дверный,Чёрный,Левый,XZGF*************,,2 120 000
